Altitude (m),Mach Number,Thrust (N)
0,0.034139646,60914.17901
0,0.119277275,62204.79116
0,0.171793162,63190.03749
0,0.224310851,64273.69341
0,0.274443958,65449.31
0,0.322191095,66641.11188
0,0.369937044,67767.96342
0,0.417683587,68927.29014
0,0.467815288,70026.14725
0,0.520332166,71065.51886
0,0.572846972,71991.71944
0,0.625359885,72814.58996
0,0.677870366,73504.60755
0,0.730378234,74051.93123
0,0.782882858,74422.11766
0,0.83538514,74664.37163
0,0.887881656,74591.71493
0,0.940371594,74159.86325
0,0.985693122,73203.00356
0,1.016692719,72009.31907
0,1.04053378,70829.9111
0,1.083451666,68924.09641
0,1.11683533,67610.35766
0,1.14926766,66469.79885
0,1.190766599,65263.71523
0,1.220319573,64493.4497
1524,0.034687721,52304.44112
1524,0.109572553,53485.49277
1524,0.162086999,54392.01144
1524,0.214602435,55352.65538
1524,0.267118592,56352.66315
1524,0.31963511,57372.35284
1524,0.372152168,58421.56541
1524,0.424671118,59574.10804
1524,0.477190699,60761.09402
1524,0.52971037,61953.00049
1524,0.582230041,63144.90695
1524,0.632363445,64336.76112
1524,0.680109988,65496.08783
1524,0.727857621,66714.95234
1524,0.77321771,67864.0031
1524,0.818578372,69044.32623
1524,0.863939232,70235.47442
1524,0.906913175,71391.08819
1524,0.949886018,72486.56277
1524,1.026266113,73556.52692
1524,1.07876362,73537.99549
1524,1.131249774,72899.48368
1524,1.192406806,71580.76974
3048,0.033659294,47032.39242
3048,0.109471282,47954.8741
3048,0.161982394,48679.33504
3048,0.214494587,49462.84173
3048,0.267007861,50305.39417
3048,0.319522396,51216.83331
3048,0.37203594,52074.14719
3048,0.424550656,52995.4273
3048,0.477067444,54029.87843
3048,0.529584682,55088.93195
3048,0.582102641,56187.34931
3048,0.632233613,57246.35054
3048,0.679980453,58421.91483
3048,0.72534052,59569.7628
3048,0.765927233,60672.70249
3048,0.806514993,61832.7744
3048,0.847102422,62974.80456
3048,0.885304121,64146.10028
3048,0.923506192,65337.69297
3048,0.959321907,66524.40076
3048,0.995138048,67734.30509
3048,1.033341729,69013.85135
3048,1.085873417,70862.02673
3048,1.121690265,72110.59197
3048,1.157510526,73545.50279
3048,1.202873453,74849.56231
3048,1.255384205,75554.34133
3048,1.307877296,75294.70642
3048,1.350808113,74095.05079
3048,1.37942032,72839.97203
3048,1.403261381,71660.56406
3048,1.42996398,70372.9683
3048,1.443779847,69036.3774
3048,1.46284446,67643.07001
3048,1.481474504,64875.48474
4572,0.034461846,39968.96023
4572,0.109336495,40593.83716
4572,0.161844813,41165.76324
4572,0.214353762,41772.13268
