TSFC (g/(kNs)),Mach Number,Thrust (N)
14.1628,0.044477652,7895.950687
14.1628,0.048281848,7606.496081
14.1628,0.05132742,7349.558768
14.1628,0.057955761,6656.985298
14.1628,0.054374129,7079.609338
14.1628,0.056662215,6842.177201
14.1628,0.058969167,6388.743922
14.1628,0.059755805,6035.477946
14.1628,0.060533938,5779.585979
14.1628,0.060561877,5459.704771
14.1628,0.060585649,5187.534658
14.1628,0.060684185,5099.300956
14.1628,0.040748814,8110.915052
16.99536,0.20632344,6656.07533
16.99536,0.210116838,6490.235835
16.99536,0.213910805,6317.890281
16.99536,0.218462163,6127.123894
16.99536,0.223771197,5914.683644
16.99536,0.227566015,5732.579002
16.99536,0.232117752,5537.475243
16.99536,0.238943653,5264.337779
16.99536,0.24349608,5061.333806
16.99536,0.249568066,4766.806293
16.99536,0.253364306,4568.436505
16.99536,0.256401638,4405.83704
16.99536,0.262473589,4111.722611
16.99536,0.267032018,3839.99194
16.99536,0.270830815,3612.34489
16.99536,0.273872978,3394.443927
16.99536,0.278431818,3118.014437
16.99536,0.281473128,2909.872562
16.99536,0.284510745,2744.020067
16.99536,0.286042197,2516.334019
16.99536,0.28908436,2298.433057
16.99536,0.291149431,2212.270011
16.99536,0.202689237,6827.469735
19.82792,0.365873896,5736.584355
19.82792,0.380257186,5468.456427
19.82792,0.397669569,5132.06688
19.82792,0.410540348,4874.756384
19.82792,0.418724019,4696.269804
19.82792,0.432500727,4386.09463
19.82792,0.443103547,4135.793366
19.82792,0.455221339,3846.48175
19.82792,0.467340267,3544.158017
19.82792,0.47205462,1487.237191
19.82792,0.476429535,3316.60196
19.82792,0.486276042,3072.360018
19.82792,0.493198035,1699.048067
19.82792,0.499152988,2744.458788
19.82792,0.50369819,2624.174701
19.82792,0.512032339,2389.015243
19.82792,0.512069465,1963.952756
19.82792,0.518853456,2170.637104
19.82792,0.51810492,2087.67186
19.82792,0.361560837,5822.184529
19.82792,0.464288555,1416.897888
22.66048,0.523343822,4841.455352
22.66048,0.534123369,4731.037596
22.66048,0.553414551,4516.669144
22.66048,0.577168395,4261.714521
22.66048,0.600317473,4008.376013
22.66048,0.629064164,3699.832202
22.66048,0.653120804,3439.352629
22.66048,0.675966849,3194.24993
22.66048,0.700174967,2930.08619
22.66048,0.72060073,2705.327543
22.66048,0.723726181,1533.855277
22.66048,0.731269184,1703.576526
22.66048,0.744052253,2450.476155
22.66048,0.745601984,2013.511892
22.66048,0.755997606,2308.174491
22.66048,0.753898533,2208.836637
22.66048,0.720727328,1463.645269
22.66048,0.749687094,2383.455534
22.66048,0.511519505,4971.980754
