Altitude (m),Mach Number,Thrust (N)
0,0.012691766,8388.419378
0,0.027064616,8239.822201
0,0.042949799,8082.431699
0,0.056564475,7961.219258
0,0.073204273,7817.189033
0,0.089843866,7675.524646
0,0.106483148,7537.40902
0,0.123121862,7405.799451
0,0.139760215,7278.330102
0,0.156398412,7152.635132
0,0.173036041,7033.44622
0,0.189673516,6916.031689
0,0.207229658,6795.744892
0,0.222947689,6690.074523
0,0.239584388,6581.531889
0,0.256221294,6470.623416
0,0.272857839,6363.855161
0,0.289494331,6257.678367
0,0.306130566,6154.458872
0,0.322766645,6053.013756
0,0.339402931,5949.202801
0,0.353014062,5868.575773
0,0.372674677,5751.044249
0,0.389310601,5651.373513
0,0.405946319,5554.068617
0,0.422582037,5456.76372
0,0.43921729,5364.781962
0,0.455852439,5273.983124
0,0.472487796,5180.818447
0,0.48912279,5091.793988
0,0.005901338,8460.993858
0,0.510536663,4978.011956
3048,0.0324786,6825.791813
3048,0.046846573,6733.031733
3048,0.070289013,6582.168846
3048,0.08692535,6477.766431
3048,0.103561792,6372.181096
3048,0.120197819,6271.327441
3048,0.13683364,6172.839624
3048,0.153469565,6073.168888
3048,0.170105231,5976.455452
3048,0.186740794,5880.924935
3048,0.203376305,5785.985878
3048,0.217743128,5706.38578
3048,0.244207829,5565.481842
3048,0.26084272,5477.640303
3048,0.277477457,5391.573144
3048,0.29411178,5310.237664
3048,0.310746103,5228.902184
3048,0.327380322,5148.749623
3048,0.344014077,5073.920201
3048,0.360647677,5000.865159
3048,0.37728107,4930.175956
3048,0.393914308,4861.261133
3048,0.405254802,4818.27955
3048,0.430203756,4725.257863
3048,0.446382161,4671.949781
3048,0.462711702,4618.880882
3048,0.480099492,4564.055803
3048,0.496732472,4498.098279
3048,0.51336447,4443.378492
3048,0.529996314,4390.433085
3048,0.546628054,4338.670598
3048,0.563259742,4287.499571
3048,0.595010729,4194.594876
3048,0.611642211,4145.789688
3048,0.628273434,4099.941799
3048,0.644904709,4053.502451
3048,0.661535829,4008.837482
3048,0.678167156,3961.806674
3048,0.694798328,3916.550245
3048,0.706137402,3889.833808
3048,0.009968622,6975.595064
6096,0.023546481,5254.126972
6096,0.040179668,5185.803609
6096,0.051520627,5137.498887
6096,0.074958534,5038.536603
6096,0.091591514,4972.579079
6096,0.108224958,4901.298416
6096,0.124101795,4839.468112
6096,0.140146589,4777.574979
6096,0.158123433,4708.748983
6096,0.174907363,4645.159899
6096,0.19306885,4577.52
6096,0.209533522,4515.634089
6096,0.227526806,4450.882883
6096,0.244310115,4394.391317
6096,0.262238448,4331.582365
6096,0.277574525,4280.220065
6096,0.296172113,4219.14631
6096,0.31234993,4172.58087
6096,0.328982083,4116.086704
6096,0.345613978,4062.549837
6096,0.362245512,4013.153189
6096,0.378876735,3967.305301
6096,0.3955077,3924.414711
6096,0.412138459,3883.889961
6096,0.428768959,3846.322511
6096,0.444643181,3814.420076
6096,0.469588239,3765.994462
6096,0.486217965,3737.29891
6096,0.502847793,3707.420437
6096,0.519477157,3682.865104
6096,0.536107037,3652.395172
6096,0.552736401,3627.839838
6096,0.569365661,3604.467424
6096,0.585995128,3578.729171
6096,0.60262444,3554.765297
6096,0.619253856,3529.618504
6096,0.63512735,3506.055653
6096,0.663095281,3460.580189
6096,0.679725316,3428.335877
6096,0.696354887,3401.414704
6096,0.712984818,3370.353312
6096,0.729614285,3344.615059
6096,0.746243959,3316.510966
6096,0.762873581,3288.998333
6096,0.779503203,3261.4857
6096,0.797157114,3227.785962
6096,0.011138602,5307.148784
9144,0.194184409,3082.612294
9144,0.219297737,3050.310156
9144,0.234792821,3032.684977
9144,0.251820542,3014.182539
9144,0.268113222,2998.559043
9144,0.294769542,2971.258296
9144,0.312456401,2953.582096
9144,0.329084524,2943.221799
9144,0.348735981,2930.547659
9144,0.365363847,2923.144661
9144,0.381991505,2918.107503
9144,0.398619578,2908.338666
9144,0.415247082,2905.075888
9144,0.431875257,2894.124131
9144,0.448503019,2887.904053
9144,0.465130885,2880.501055
9144,0.481002695,2876.219796
9144,0.505944225,2868.190891
9144,0.522571935,2862.562273
9144,0.539199749,2855.750735
9144,0.555827305,2851.896496
9144,0.572455222,2843.902039
9144,0.589083294,2834.133202
9144,0.605710798,2830.870423
9144,0.622338663,2823.467426
9144,0.638966374,2817.838808
9144,0.655594653,2805.704131
9144,0.67222288,2794.160915
9144,0.688851262,2780.843318
9144,0.703212371,2766.673468
9144,0.734353454,2734.190784
9144,0.75083129,2713.891362
9144,0.767460292,2693.476247
9144,0.780566416,2671.926045
10999.9272,0.249343666,2268.605319
10999.9272,0.27170686,2235.439332
10999.9272,0.28581641,2217.050996
10999.9272,0.304964503,2198.749322
10999.9272,0.321592885,2185.431725
