TSFC (g/(kNs)),Velocity (m/s),Thrust (N),Mach Number
24.07676,56.14903724,33578.08071,
24.07676,58.21359174,30619.97489,0.173263931
24.07676,60.96633108,27817.66638,0.183669894
24.07676,64.75134766,24870.29493,0.197707813
24.07676,70.06824899,21734.2633,0.217325438
24.07676,73.6977505,19561.12262,0.231449959
24.07676,78.17095191,17350.07011,0.249098253
24.07676,81.26778366,15558.78994,0.26226646
24.07676,86.42916992,14020.84007,0.282043619
24.07676,90.92563737,12551.62263,0.300276069
24.07676,94.3432955,7915.041033,
24.07676,99.16058933,10295.99468,0.334310298
24.07676,98.4724045,8958.603103,
24.07676,95.00576524,11626.4461,0.316245917
24.07676,99.72019871,9642.392666,0.337954959
25.49304,97.40706499,32613.81983,
25.49304,97.09603483,31269.56464,0.287035065
25.49304,99.16058933,29431.6593,0.295506847
25.49304,101.2251438,27675.32337,0.304124339
25.49304,103.9778832,25666.6172,0.315389619
25.49304,107.7628998,23435.69704,0.330589855
25.49304,112.0707899,21378.33549,0.347659626
25.49304,117.7415798,19040.84444,0.370316741
25.49304,121.8706888,17481.75984,0.387095938
25.49304,124.2364773,6510.352137,0.421041416
25.49304,128.7525372,15537.20024,0.414582948
25.49304,133.6681431,7198.515746,0.453005634
25.49304,134.2580158,14569.31838,0.43566179
25.49304,140.7957718,8314.053775,0.477161397
25.49304,141.1398642,13077.27477,0.464213712
25.49304,146.7357538,10189.36537,0.497292187
25.49304,146.7114674,11498.02483,0.490454157
26.90932,134.6253743,32274.93791,
26.90932,138.7312173,29692.92981,0.412791652
26.90932,142.1721414,27746.23549,0.427180336
26.90932,147.3335277,25598.55431,0.447653729
26.90932,153.5271912,23376.16381,0.472333656
26.90932,155.2709193,2473.211191,
26.90932,159.3767623,21660.54768,0.495296833
26.90932,169.6664725,4025.209465,0.57500513
26.90932,170.3877196,19431.4934,0.53686837
26.90932,176.4106839,4767.704302,0.597861479
26.90932,178.3018452,17980.49134,0.567447982
26.90932,180.7104921,5444.666059,0.612433668
26.90932,188.2805253,16144.19909,0.607602352
26.90932,190.6891722,6907.331011,0.646251735
26.90932,194.808485,7587.8156,0.660212219
26.90932,197.9151129,14301.37175,0.649351196
26.90932,199.9796674,8494.60503,0.677737522
26.90932,203.5298807,12197.80636,0.682169788
26.90932,203.764684,10172.21888,0.690565065
26.90932,204.4528689,11211.36422,0.692166009
28.3256,184.3069313,32248.48004,
28.3256,186.9041556,30687.714,0.553910158
28.3256,191.377357,28883.48889,0.573052759
28.3256,197.9151129,26865.60924,0.599937027
28.3256,206.8615158,24893.64523,0.635122441
28.3256,216.152011,23397.96649,0.670570243
28.3256,221.1578822,2535.338532,
28.3256,227.1629684,22019.91152,0.711594175
28.3256,228.0231994,3498.934277,0.772777954
28.3256,235.4211864,4470.790313,0.79784997
28.3256,237.8298333,21194.82225,0.750150754
28.3256,242.3030347,5154.866596,0.821172775
28.3256,250.2171603,19926.65979,0.796946742
28.3256,254.0021769,6462.952741,0.860821544
28.3256,261.8171157,18156.54471,0.845528308
28.3256,265.4564134,7858.601109,0.899640319
28.3256,269.830428,15693.03818,0.889895611
28.3256,270.5186129,8966.504506,0.916796276
28.3256,273.959537,13131.7622,0.924919545
28.3256,271.7064052,14825.1458,0.902976821
28.3256,273.6154446,11620.00894,0.927291538
28.3256,273.6154446,10420.93868,0.927291538
29.74188,232.7247753,32454.81277,
29.74188,243.6794044,30691.15882,0.725161603
29.74188,254.3462693,29325.915,0.765126671
29.74188,265.701319,28035.96896,0.807263076
29.74188,284.2823095,26312.64496,0.876449181
29.74188,294.1152708,25597.99922,0.912303423
29.74188,300.8085418,25119.85456,0.937062441
29.74188,303.5514849,3915.428168,1.028745742
29.74188,308.3687787,24504.80753,0.965473698
29.74188,315.250627,4950.438452,1.06839451
29.74188,319.379736,23736.19256,1.006622896
29.74188,322.4435055,5481.189047,1.092771407
29.74188,329.047386,6145.237585,1.11515217
29.74188,331.0788782,22539.97436,1.05434632
29.74188,339.3370962,6951.785191,1.150024329
29.74188,342.1559601,21157.78921,1.103387748
29.74188,346.563037,20318.24432,1.125933533
29.74188,350.0039611,7857.496743,1.186174677
29.74188,354.4771626,18724.39903,1.167561839
29.74188,361.7031033,8857.31851,
29.74188,362.7353806,15803.74432,1.222168714
29.74188,365.4881199,13173.19281,1.238650989
29.74188,367.5526744,10086.53918,
29.74188,368.5849516,11555.75744,1.249146251
29.74188,295.0863216,3261.395067,1.000057031
31.15816,295.9814517,31462.7737,0.874004012
31.15816,300.7987455,31197.18268,0.889915326
31.15816,315.250627,30092.67051,0.940801063
31.15816,334.5198024,28650.26717,1.012825789
31.15816,355.8535322,26916.06949,1.095014209
31.15816,359.9826412,26616.11989,1.11010022
31.15816,379.9400014,24727.92795,1.191206258
31.15816,386.1336649,24075.00696,1.218129264
31.15816,401.2737312,22604.42174,1.28304377
31.15816,406.4351175,22015.36506,
31.15816,419.1665369,20325.80729,
31.15816,427.8484417,19041.8263,
31.15816,433.1249335,18141.88575,
31.15816,284.5862306,32158.05169,
