TSFC (g/(kNs)),TAS (m/s),Thrust (N),Mach Number
26.90932,24.55558883,2684.535205,0.08321968
26.90932,29.59112385,10550.63996,0.087260795
26.90932,32.50987785,3184.709535,0.110177021
26.90932,36.7541406,8716.877909,0.111113438
26.90932,37.06122168,3879.756126,0.123973379
26.90932,38.9628169,4522.055145,0.12801961
26.90932,39.76706233,7735.580582,0.122067389
26.90932,40.86368291,5114.912594,0.13221967
26.90932,41.64629482,6861.671483,0.129788435
26.90932,42.01329345,6086.998625,0.132950673
26.90932,16.73402339,2349.648529,0.056712143
26.90932,28.45982482,10820.08666,
28.3256,44.79116559,2235.464793,0.1517987
28.3256,57.0231947,2602.798784,0.19325344
28.3256,65.80844376,2996.283337,0.223026932
28.3256,67.42249289,9800.188839,0.199414771
28.3256,69.90348034,9220.195636,0.208540281
28.3256,72.3008496,3344.157125,0.245029904
28.3256,73.45481831,8277.0748,0.222398318
28.3256,75.33573205,7517.155984,0.231043484
28.3256,76.79357827,3730.402717,0.257377818
28.3256,77.59429913,6704.960571,0.24149131
28.3256,78.46651006,5974.118073,0.24781242
28.3256,79.46696864,5386.07735,0.254246396
28.3256,79.83514213,4691.060353,0.259863522
28.3256,80.20615146,4188.316125,0.264903775
28.3256,65.84522559,10241.48858,
28.3256,50.39981794,2395.833985,0.170806603
29.74188,88.12540668,2313.176216,0.298659836
29.74188,94.289336,9712.892016,0.278178526
29.74188,98.34568867,2504.63511,0.333296701
29.74188,100.3353343,9116.807397,0.298720394
29.74188,106.0024274,8488.124683,0.318876495
29.74188,107.4319677,2782.214509,0.364090392
29.74188,110.1572178,7954.008729,0.334424318
29.74188,113.9335486,7417.508972,0.349211257
29.74188,115.3846698,3174.794568,0.391042356
29.74188,119.5973967,6568.811276,0.372451511
29.74188,122.2027671,3612.686216,0.412143035
29.74188,121.8586174,5936.528238,0.384342732
29.74188,124.1178934,5172.401016,0.398401227
29.74188,123.9539237,4318.117405,0.408044576
29.74188,91.28146814,9987.583308,
29.74188,79.23108998,2182.46536,0.268516711
31.15816,129.2738697,9741.812377,0.379963814
31.15816,133.6396842,9320.539168,0.395551596
31.15816,139.3078873,8767.117509,0.416301701
31.15816,144.1328622,2357.106533,
31.15816,144.220642,8308.635409,0.434529478
31.15816,152.1575484,7630.256147,0.464298864
31.15816,153.5977492,2647.134626,
31.15816,159.7168055,7004.428158,0.49359083
31.15816,163.4424286,3029.908182,0.553911645
31.15816,165.762111,6361.374048,0.519126747
31.15816,171.3950928,3419.924604,0.58086348
31.15816,171.4315538,5892.003057,0.542433971
31.15816,177.47897,5392.054822,0.568564976
31.15816,177.4579645,3967.862957,0.594604048
31.15816,179.3552114,4315.343731,0.59357975
31.15816,180.4980901,4831.010832,0.587431845
31.15816,139.1269039,2217.769715,
32.57444,166.9720331,9633.588391,
32.57444,174.1290328,9180.897521,0.515971034
32.57444,181.6902506,8688.012418,0.543413326
32.57444,189.6298916,8195.039039,0.572791679
32.57444,196.8130753,7728.611049,0.600286239
32.57444,203.6185652,7311.712904,0.626695588
32.57444,214.2045911,6643.42805,0.669218997
32.57444,224.4133668,6054.749996,0.71107231
32.57444,225.4448716,2470.006637,
32.57444,233.1105214,5606.862645,0.747416092
32.57444,231.9341555,2820.741902,
32.57444,237.2377907,3206.798331,0.8040065
32.57444,240.2934326,5121.952925,0.781867981
32.57444,242.5413855,3590.108006,0.821980553
32.57444,245.5847926,4675.742942,0.811357023
32.57444,247.1730686,4091.313333,0.83358154
33.99072,210.8387609,9354.719219,0.622491885
33.99072,219.1583765,8966.858236,0.652208308
33.99072,230.1256747,8491.66038,0.691792305
33.99072,240.3368009,8062.352908,0.729610082
33.99072,251.6820996,7558.422057,0.773297945
33.99072,264.1622567,7026.366447,0.822397209
33.99072,276.2641903,6507.936686,0.871577485
33.99072,288.7446755,5998.129782,0.923936875
33.99072,298.5781684,5622.459205,0.967285896
33.99072,308.4104163,5162.371727,1.016613551
33.99072,311.2649131,2859.706026,
33.99072,316.3499855,4664.53267,1.062795587
33.99072,317.8423105,3215.463115,
33.99072,319.9386978,4236.083337,1.084282533
33.99072,321.6337524,3703.502539,1.090027127
33.99072,205.8527302,9585.344762,0.605003417
35.407,259.2774004,9376.380957,0.765888764
35.407,271.0023254,8953.94042,0.808456188
35.407,294.4523537,8121.145062,0.897319394
35.407,308.0679951,7603.40858,0.951615239
35.407,324.3310652,6981.135313,1.018135525
35.407,337.9462137,6429.979992,1.077603451
35.407,351.1826873,5861.843834,1.14191305
35.407,361.7703869,5307.039153,1.201183958
35.407,370.0863119,4668.948896,1.254234409
35.407,373.8600257,3955.008842,1.267023647
35.407,374.6096607,3465.910107,1.269564184
35.407,374.3571883,3089.82769,
35.407,252.8111409,9609.289068,
36.82328,297.878142,9475.049572,0.879527744
36.82328,311.495946,9103.943965,0.928804106
36.82328,325.113191,8694.933155,0.98012009
36.82328,342.1342011,8146.64569,1.046844596
36.82328,359.154374,7541.59198,1.116989888
36.82328,368.6097126,7184.229812,1.157741196
36.82328,379.5776132,6749.88011,1.20774236
36.82328,393.9490447,6160.368359,1.278679976
36.82328,405.2925974,5538.052418,1.345178361
36.82328,411.339021,4970.808714,1.390318205
36.82328,415.8702534,4302.288222,1.409397659
36.82328,415.4788665,3423.41527,
36.82328,290.154115,9670.374824,
36.82328,414.7456254,3178.121767,
38.23956,429.5084468,6222.685179,1.398963996
38.23956,436.3258011,5701.112537,1.447684
38.23956,441.2376443,5180.828476,
38.23956,443.8797592,4716.009147,
38.23956,445.7638937,4174.457262,
38.23956,446.889521,3520.465021,
38.23956,426.8140513,6462.738637,1.378336796
38.23956,446.9592685,3184.566569,
39.65584,460.5853334,6331.468656,
39.65584,464.3345372,6062.645139,
39.65584,468.1132988,5690.950612,
39.65584,470.7569706,5331.685109,
39.65584,472.6451389,5063.631428,
39.65584,474.9067444,4457.442551,
39.65584,476.7893191,3810.140644,
39.65584,457.1058423,6560.367673,
39.65584,476.7687179,3177.612833,
42.4884,527.8721803,3509.814252,
42.4884,528.6363186,4004.053391,
42.4884,529.4078707,5000.948482,
42.4884,529.4016723,4580.695145,
42.4884,527.0925057,3186.812716,
42.4884,529.6874367,5266.153817,
45.32096,571.4113734,4892.266726,
45.32096,571.026995,4488.582187,
45.32096,571.9978287,5270.243322,
45.32096,569.8841071,3218.708712,
