Altitude (m),Mach Number,Thrust (N)
0,-0.000262337,51848.32163
0,0.02984055,50369.51925
0,0.065258434,48711.68199
0,0.100091072,47233.48677
0,0.134929681,45935.00948
0,0.167407894,44771.01708
0,0.201071531,43697.03543
0,0.234739646,42757.84223
0,0.267816543,41818.57314
0,0.296171155,41103.34432
0,0.332210117,40344.17264
0,0.367659354,39629.85455
0,0.403110084,38960.46595
0,0.436790143,38380.70863
0,0.476972115,37756.85666
0,0.511244887,37222.10472
0,0.545522137,36822.14124
0,0.58157155,36377.47595
0,0.616440019,35977.58836
0,0.649536324,35622.40257
0,0.689136036,35268.05161
0,0.732284553,34959.08551
0,0.778978889,34605.64529
0,0.824492281,34296.98277
0,0.874145697,34033.78099
0,0.918481131,33859.75513
0,0.95217612,33729.29266
0,0.98527989,33598.75429
4572,0.001014158,36887.03095
4572,0.037635381,35858.35825
4572,0.078401107,35009.93476
4572,0.115621014,34205.98539
4572,0.158754602,33447.72444
4572,0.20602672,32689.99475
4572,0.254484262,32022.27583
4572,0.301168148,31354.32921
4572,0.347265293,30821.09516
4572,0.390999057,30332.48702
4572,0.432369439,29888.50478
4572,0.47906079,29445.20559
4572,0.521615102,29046.30463
4572,0.56771822,28692.78851
4572,0.615003775,28339.42419
4572,0.667020573,28031.5965
4572,0.720811028,27723.9965
4572,0.993322555,26545.88774
4572,0.935981803,26763.1734
4572,0.770464444,27460.79472
4572,0.820710572,27242.59833
4572,0.880413213,26935.75727
7620,0.013058,25701.18307
7620,0.047324799,24986.71319
7620,0.081003366,24362.02639
7620,0.118823449,23827.72981
7620,0.156056793,23428.1458
7620,0.273091229,22634.44217
7620,0.314472062,22504.96632
7620,0.375946867,22153.42346
7620,0.436840904,22116.3111
7620,0.489460865,22167.99519
7620,0.537943787,22264.0775
7620,0.586431189,22494.94826
7620,0.63373466,22680.73775
7620,0.742530851,23054.1382
7620,0.673943506,22865.61651
7620,0.711785984,23005.26221
7620,0.195065286,23073.71895
7620,0.234076765,22809.15108
10668,0.203090035,15481.69858
10668,0.250381562,15308.05219
10668,0.292944832,15178.72814
10668,0.339055415,15049.85945
10668,0.388716296,15011.30509
10668,0.434831358,15017.22486
10668,0.477399107,15022.68925
10668,0.528838123,15119.15103
10668,0.596835743,15352.52631
10668,0.648868964,15538.92296
10668,0.705043702,15815.70983
10668,0.767133613,16183.11462
10668,0.819764024,16549.3051
10668,0.871211998,16915.34379
10668,0.931532732,17417.30935
10668,0.984757349,17873.43469
13716,0.200532566,9685.491492
13716,0.249009517,9601.855864
13716,0.302213231,9428.968421
13716,0.355418439,9301.010464
13716,0.413356382,9263.51863
13716,0.471884051,9181.173207
13716,0.750958704,9801.078663
13716,0.993394218,10910.503
13716,0.946680473,10679.85992
13716,0.816001723,10079.00395
13716,0.876904718,10311.4685
13716,0.532188362,9188.914435
13716,0.595454739,9376.753074
13716,0.689465984,9613.467707
13716,0.648076193,9473.366645
