TSFC (g/(kNs)),Mach Number,Thrust (N)
18.41164,0.043096811,30952.05345
18.41164,0.047830543,33221.8478
18.41164,0.054888887,35779.29533
18.41164,0.063131931,38929.60876
18.41164,0.067852564,40936.75747
18.41164,0.076074904,43671.92135
18.41164,0.083133248,46229.36887
18.41164,0.087792613,47008.01378
18.41164,0.090740283,48502.59758
18.41164,0.09565939,49703.6878
18.41164,0.042556364,29982.30027
19.82792,0.18278679,29325.9704
19.82792,0.186318328,30652.13982
19.82792,0.191072662,33335.02614
19.82792,0.193495998,35602.2044
19.82792,0.194774081,38067.47955
19.82792,0.198311422,39510.00382
19.82792,0.203045436,41785.44646
19.82792,0.206614101,43856.06095
19.82792,0.208994292,45258.1224
19.82792,0.211582748,46477.19541
19.82792,0.181650712,28211.30844
21.2442,0.317975436,30089.93498
21.2442,0.317885012,28276.83282
21.2442,0.320554419,35477.99703
21.2442,0.320458079,33546.28071
21.2442,0.319214222,31767.27321
21.2442,0.322277543,39146.29036
21.2442,0.321807149,37434.92578
21.2442,0.324663762,40669.22528
21.2442,0.325539986,42797.36561
21.2442,0.32635798,43980.71195
21.2442,0.318413712,27196.59987
22.66048,0.452710591,39775.53824
22.66048,0.449835376,41841.67204
22.66048,0.458171199,38605.36259
22.66048,0.461083881,27522.79641
22.66048,0.462117312,25082.5288
22.66048,0.463862304,36909.85014
22.66048,0.46368878,33430.50145
22.66048,0.463582581,31301.09486
22.66048,0.462332808,29403.4732
22.66048,0.468381948,34886.94156
22.66048,0.473543677,22576.87387
22.66048,0.494197079,19789.98928
22.66048,0.503397496,18974.99591
22.66048,0.522953453,17344.80427
22.66048,0.548949801,15807.87828
22.66048,0.570170028,14460.01034
22.66048,0.582844052,13809.61487
24.07676,0.576017794,39067.39271
24.07676,0.588634986,37277.45407
24.07676,0.60123908,35224.86978
24.07676,0.611534619,33206.58504
24.07676,0.618364789,31188.91497
24.07676,0.62290387,29555.73863
24.07676,0.629149472,27397.66972
24.07676,0.632835768,24878.39134
24.07676,0.636501534,24263.65323
24.07676,0.643324522,22101.95169
24.07676,0.651321646,20321.30505
24.07676,0.659292911,18022.14508
24.07676,0.670110819,9632.848461
24.07676,0.68002152,16743.23378
24.07676,0.691317579,11624.79938
24.07676,0.698346659,13595.46992
24.07676,0.699574979,15062.96397
24.07676,0.68457367,10853.66369
24.07676,0.571682242,39906.61588
25.49304,0.708775347,37408.64925
25.49304,0.731762868,35100.04774
25.49304,0.747841795,33236.63143
25.49304,0.755886075,32401.50909
25.49304,0.773102885,30192.21235
25.49304,0.788021618,28227.33165
25.49304,0.802936295,26181.11553
25.49304,0.820108358,23074.58739
25.49304,0.828112032,21425.26357
25.49304,0.838034887,11934.28676
25.49304,0.843042005,19685.74978
25.49304,0.84986964,17617.24507
25.49304,0.847314742,12712.1121
25.49304,0.854363438,15076.10558
25.49304,0.830185721,11117.44079
25.49304,0.699924313,38254.83912
26.90932,0.826527715,35981.32525
26.90932,0.858804049,34630.16482
26.90932,0.88991326,33038.59197
26.90932,0.935999643,30653.87689
26.90932,0.971710457,28682.76641
26.90932,0.991294048,27606.67235
26.90932,0.806631078,36936.30821
26.90932,0.998137206,27171.60257
28.3256,0.947050856,34523.00874
28.3256,0.970797198,33532.59595
28.3256,0.999618474,32388.77772
28.3256,1.048415735,30316.21759
28.3256,1.071080414,29254.82755
28.3256,1.09182331,28262.40575
28.3256,1.106803777,27535.34854
28.3256,1.119538888,26911.14441
28.3256,0.92353447,35547.1874
