Altitude (m),Mach Number,Thrust (N)
0,0.016378458,12782.9652
0,0.038937141,12483.56918
0,0.062687862,12187.53969
0,0.086440238,11898.18689
0,0.111380828,11596.77006
0,0.136323403,11303.36526
0,0.161270129,11026.71287
0,0.187409281,10754.99166
0,0.21355114,10494.19594
0,0.23969721,10250.39542
0,0.265847191,10022.37617
0,0.29200018,9806.496351
0,0.318157381,9607.611738
0,0.344315182,9411.155012
0,0.370473586,9217.126172
0,0.3966359,9038.878596
0,0.422801222,8872.770453
0,0.44896895,8716.373856
0,0.475136679,8559.977259
0,0.501306814,8413.292209
0,0.52747755,8269.035046
0,0.553650092,8132.061542
0,0.579822332,7993.874095
0,0.598858428,7900.392934
0,0.000218776,12993.92928
3048,0.023069557,10942.21628
3048,0.049208709,10670.49507
3048,0.075351771,10414.55512
3048,0.101500549,10181.6801
3048,0.127652034,9959.730562
3048,0.153806226,9748.706516
3048,0.17996493,9555.89162
3048,0.206124838,9367.932497
3048,0.232287152,9189.684921
3048,0.258451872,9021.148891
3048,0.284619601,8864.752294
3048,0.310789736,8718.067244
3048,0.336958968,8567.740364
3048,0.36313181,8431.980804
3048,0.389304652,8296.221244
3048,0.415477495,8160.461684
3048,0.441652142,8031.985783
3048,0.467826488,7902.29594
3048,0.494001736,7776.247926
3048,0.520177286,7651.413856
3048,0.546353738,7530.221615
3048,0.572531393,7413.885148
3048,0.598708747,7296.334738
3048,0.624887304,7183.640101
3048,0.651067366,7077.01518
3048,0.667727214,7008.390449
3048,-0.000220051,11222.98326
6096,0.249793919,7440.824577
6096,0.284224642,7270.844716
6096,0.310402297,7154.508249
6096,0.336582058,7046.669385
6096,0.362763323,6944.900238
6096,0.388946392,6850.41475
6096,0.415130665,6760.785036
6096,0.441316141,6676.011095
6096,0.46750282,6596.092928
6096,0.493691004,6522.244477
6096,0.519879187,6448.396026
6096,0.54606737,6374.547575
6096,0.572257057,6306.768841
6096,0.598447346,6241.417993
6096,0.624638839,6180.922919
6096,0.650829729,6117.999958
6096,0.677021522,6058.718827
6096,0.703214518,6004.293469
6096,0.729405108,5940.156565
6096,0.755598104,5885.731207
6096,0.782267637,5831.53024
6096,0.807984999,5780.522321
6096,0.822274494,5760.547309
9144,0.30081895,5546.298702
9144,0.33617988,5423.627167
9144,0.362368966,5353.420546
9144,0.388557149,5279.572095
9144,0.414747438,5214.221247
9144,0.44093893,5153.726173
9144,0.467131626,5098.086872
9144,0.49332763,5055.800947
9144,0.519525138,5019.584739
9144,0.545722646,4983.368531
9144,0.571921659,4953.22204
9144,0.598121573,4926.717378
9144,0.624321488,4900.212717
9144,0.650522305,4877.349885
9144,0.676724025,4858.128884
9144,0.702925444,4837.693939
9144,0.729128968,4825.756597
9144,0.755330086,4804.107709
9144,0.781534513,4795.812198
9144,0.807737435,4781.446969
9144,0.833941261,4770.723571
9144,0.860145387,4761.214116
9144,0.886347708,4744.421001
9144,0.912553639,4742.195206
9144,0.929230332,4741.551301
12192,0.348904598,3605.216017
12192,0.383366438,3560.812327
12192,0.409566353,3534.307666
12192,0.435765967,3506.589061
12192,0.461966784,3483.72623
12192,0.488171211,3475.430718
12192,0.514371126,3448.926057
12192,0.540576756,3445.486318
12192,0.566777573,3422.623487
12192,0.592981699,3413.114032
12192,0.619183418,3393.89303
12192,0.645389048,3390.453292
12192,0.67159528,3389.44144
12192,0.697799105,3378.718042
12192,0.724004134,3372.850417
12192,0.750207658,3360.913075
12192,0.77641389,3359.901224
12192,0.802621024,3362.531202
12192,0.828826654,3359.091464
12192,0.855032585,3356.865669
12192,0.881242125,3369.207193
12192,0.907447755,3365.767455
12192,0.933653686,3363.54166
12192,0.949139031,3362.314455
15240,0.437226926,2103.200748
15240,0.47353278,2087.23148
15240,0.499732996,2061.940762
15240,0.525938927,2059.714967
15240,0.55214215,2046.563682
15240,0.578344772,2030.98451
15240,0.604551004,2029.972658
15240,0.630756935,2027.746863
15240,0.656963467,2027.948955
15240,0.683169398,2025.72316
15240,0.709375931,2025.925251
15240,0.735582162,2024.9134
15240,0.761788394,2023.901548
15240,0.787994626,2022.889696
15240,0.814201158,2023.091788
15240,0.840409796,2031.791483
15240,0.866619637,2045.346951
15240,0.89282617,2045.549042
15240,0.919032402,2044.537191
15240,0.945238633,2043.525339
15240,0.977328762,2042.286304
