Altitude (m),Mach Number,Thrust (N),TSFC (g/(kNs))
6096,0.242474328,9633.574336,17.31506501
6096,0.283869565,9336.618191,18.02885542
6096,0.323513668,9097.792665,18.66549244
6096,0.352585993,8941.997842,19.13411899
6096,0.381658332,8816.931788,19.53278737
6096,0.423945337,8658.35126,20.12182074
6096,0.45301765,8539.658983,20.56670372
6096,0.482089948,8432.142423,21.01529346
6096,0.521733992,8314.359552,21.56895619
6096,0.55080629,8229.596844,21.98204502
6096,0.579878567,8166.090346,22.37292584
6096,0.619522584,8078.150884,22.91567546
6096,0.645055387,8039.788535,23.22078944
6096,0.689119781,7965.138819,23.8793083
6096,0.722596935,7930.546981,24.26245098
6096,0.751669165,7891.182987,24.676144
6096,0.780741389,7854.507661,25.0935671
6096,0.830583508,7832.278409,25.73412048
9144,0.290214458,6938.456868,17.80498232
9144,0.331446665,6759.023686,18.48736892
9144,0.360519005,6678.109844,18.87937914
9144,0.385626954,6618.160994,19.1647372
9144,0.426592525,6535.705611,19.64518844
9144,0.455664855,6439.729842,20.12715673
9144,0.482094242,6393.880051,20.45266363
9144,0.518857204,6316.410773,20.96692754
9144,0.553453563,6267.579751,21.40316362
9144,0.582525864,6224.045255,21.80017133
9144,0.611598156,6192.050043,22.17694465
9144,0.640670463,6181.103315,22.45485557
9144,0.669742746,6160.68,22.81039767
9144,0.698059882,6144.081061,23.18658678
9144,0.727887277,6146.919771,23.48757498
9144,0.75695953,6144.222008,23.83197608
9144,0.784710308,6134.800799,24.20504037
9144,0.823032795,6118.029959,24.76378655
9144,0.852105016,6139.173993,25.07036433
9144,0.881177217,6143.240482,25.4793341
9144,0.920821159,6184.284736,25.83223194
9144,0.961523226,6224.062419,26.41126665
12192,0.389595258,4369.765919,19.42487727
12192,0.431882344,4314.237057,19.93523848
12192,0.460954695,4281.53822,20.31956031
12192,0.483419698,4268.132611,20.55313394
12192,0.521742356,4261.240176,20.86077094
12192,0.550814684,4259.285407,21.16390982
12192,0.577244093,4257.513528,21.38785328
12192,0.619531108,4254.662584,21.84519571
12192,0.650585623,4252.546439,22.21285242
12192,0.677675755,4250.666155,22.47670545
12192,0.722605679,4255.961834,22.99532979
12192,0.751677983,4253.953346,23.36047492
12192,0.780750275,4259.894937,23.71182158
12192,0.825680149,4265.800444,24.35222492
12192,0.854752423,4278.511356,24.70714272
12192,0.870610052,4294.919529,24.78106052
12192,0.923468643,4345.107468,25.48269363
