Speed (RPM),Altitude (m),Power (W)
1200,6.485369977,704170.1617
1200,294.5147226,683006.023
1200,495.8287857,668761.8073
1200,695.0470634,654517.5917
1200,893.4776541,640831.7578
1200,1092.266302,626587.5421
1200,1292.431801,612157.1992
1200,1510.171077,596825.1302
1400,3.554192957,932332.4884
1400,296.393258,905242.0061
1400,497.6411146,886158.4809
1400,696.8049954,866888.8284
1400,895.1877642,847619.1759
1400,1093.940851,828163.3962
1400,1294.081281,808893.7437
1400,1496.488566,789251.8366
1400,1701.940775,770912.8206
1400,1911.073107,751829.2954
1400,2124.440949,732559.6429
1400,2342.505757,713476.1177
1400,2565.63899,694206.4652
1400,2794.143153,674936.8127
1400,3028.252518,655481.0329
1400,3268.151399,636211.3804
1400,3513.970606,616755.6006
1400,3773.34935,595882.8841
1600,5.391768604,1142852.677
1600,298.1094773,1108306.878
1600,499.2919238,1084197.916
1600,698.4134273,1061205.718
1600,896.760906,1037841.265
1600,1095.487151,1014290.685
1600,1295.607616,990926.2323
1600,1497.997235,966817.2703
1600,1703.439096,944383.4539
1600,1912.54941,919529.9828
1600,2125.918466,896910.0391
1600,2343.984308,874290.0954
1600,2567.110573,850553.3879
1600,2795.611097,827188.9351
1600,3029.7199,804010.6095
1600,3269.611735,780460.0294
1600,3515.428264,757281.7038
1600,3767.259297,733731.1237
1600,4025.176522,709994.4163
1600,4289.241893,687002.218
1600,4559.490301,664010.0197
1600,4835.954048,640087.185
1600,5118.700708,616536.6049
1600,5369.320227,594892.8759
1800,2.393692806,1363402.196
1800,299.9371078,1324586.788
1800,501.0589411,1296196.899
1800,700.1219464,1267620.882
1800,898.4264312,1239230.992
1800,1097.123229,1211213.357
1800,1297.213687,1182451.213
1800,1504.217253,1153041.588
1800,1705.005144,1125671.433
1800,1914.116059,1097467.671
1800,2127.456456,1067961.018
1800,2345.504167,1039571.128
1800,2568.626191,1011553.493
1800,2797.118756,983535.8579
1800,3031.215092,955332.0955
1800,3271.096786,927128.3332
1800,3516.897716,898924.5708
1800,3768.715067,870720.8084
1800,4026.616588,842330.9188
1800,4290.659979,814313.2837
1800,4560.892523,787040.1578
1800,4837.334079,758464.1408
1800,5120.056412,730260.3785
1800,5409.129301,702242.7434
1800,5704.65054,674225.1083
1800,6006.739795,644811.5186
1800,6315.615217,616700.8199
1800,6515.810446,599266.2312
1800,142.9504482,1344545.718
2000,1.021268885,1551641.056
2000,301.4625366,1505130.259
2000,502.5295237,1472645.569
2000,701.5515754,1440347.006
2000,899.821061,1407862.316
2000,1098.493401,1376122.135
2000,1298.563899,1343451.318
2000,1500.935984,1312641.773
2000,1706.335004,1279598.701
2000,1915.437076,1247486.266
2000,2128.777077,1214815.449
2000,2346.820546,1182703.013
2000,2569.938755,1150962.832
2000,2798.427382,1119222.652
2000,3032.513687,1086737.962
2000,3272.393561,1055183.908
2000,3518.189693,1023443.727
2000,3770.002878,991889.6736
2000,4027.896804,959963.3654
2000,4291.924794,927850.93
2000,4562.125736,895229.7467
2000,4838.558008,863439.9319
2000,5121.268013,831885.8783
2000,5410.320351,799959.5701
2000,5705.814775,767661.0074
2000,6007.907491,736479.2084
2000,6316.75224,703994.5184
2000,6632.615489,672254.3376
2000,6955.783225,639769.6476
2000,7385.033016,596475.6585
