Altitude (m),TAS (m/s),Power (W),Mach Number
0,0,3042596.842,0
1524,0,2786140.287,0
3048,0,2536960.336,0
4572,0,2265793.473,0
6096,0,1973992.906,0
7620,0,1652928.822,0
0,51.4444,3090634.782,0.151176341
1524,51.4444,2837090.833,0.153843885
3048,51.4444,2579202.522,0.156657811
4572,51.4444,2322706.692,0.159632016
6096,51.4444,2020648.184,0.162782317
7620,51.4444,1705360.218,0.166126808
9144,51.4444,1392965.22,0.169686295
10668,51.4444,1093907.686,0.173484845
0,102.8888,3199122.445,0.302352682
1524,102.8888,2949824.67,0.307687769
3048,102.8888,2680187.75,0.313315621
4572,102.8888,2423623.19,0.319264031
6096,102.8888,2136392.813,0.325564635
7620,102.8888,1831343.15,0.332253617
9144,102.8888,1513113.123,0.33937259
10668,102.8888,1193382.609,0.346969691
0,154.3332,3276443.539,0.453529023
1524,154.3332,3138983.374,0.461531654
3048,154.3332,2842936.632,0.469973432
4572,154.3332,2580487.949,0.478896047
6096,154.3332,2291835.635,0.488346952
7620,154.3332,1997181.375,0.498380425
9144,154.3332,1693661.655,0.509058885
10668,154.3332,1360632.952,0.520454536
0,205.7776,3420147.571,0.604705364
1524,205.7776,3434056.292,0.615375539
3048,205.7776,3102783.362,0.626631242
4572,205.7776,2815327.156,0.638528063
6096,205.7776,2495793.016,0.65112927
7620,205.7776,2218614.387,0.664507233
9144,205.7776,1928383.037,0.67874518
10668,205.7776,1610300.29,0.693939382
