Efficiency,Speed (RPM),Torque (Nm)
0.8,253.5427473,615.3985649
0.8,262.6406381,624.7067957
0.8,258.4281108,620.1923059
0.84,252.2921377,477.6725761
0.84,272.7412444,496.6467505
0.84,281.8361851,506.5550578
0.84,290.929654,515.9051563
0.84,300.0253306,526.092568
0.84,309.1199033,535.8613231
0.84,318.214476,545.6300782
0.84,327.3094167,555.5383855
0.84,337.9156427,565.3769334
0.84,348.5251802,576.4714512
0.84,357.6182811,585.6819975
0.84,365.2004647,595.1018553
0.84,371.2700752,604.1030399
0.84,378.8535467,614.0113305
0.84,387.9510935,625.2439119
0.84,1444.404627,27.62470214
0.84,1477.656949,27.62506912
0.84,1510.910677,28.15827183
0.84,1544.163802,28.46311637
0.84,1577.416928,28.76796091
0.84,1610.670655,29.30116362
0.84,1643.92338,29.45376938
0.84,1677.177408,30.10115117
0.84,1710.429831,30.13957784
0.84,1743.68386,30.78695964
0.84,1776.936684,30.97762509
0.84,1810.189308,31.09217115
0.84,1843.443337,31.73955295
0.84,1876.69586,31.81603932
0.84,1909.948584,31.96864508
0.84,1943.202713,32.65408656
0.84,1976.455036,32.65445354
0.84,2009.707559,32.73093991
0.84,2042.961788,33.45444109
0.84,2070.168335,33.49280105
0.84,2157.835757,34.33108182
0.84,2191.088079,34.3314488
0.84,2224.005501,34.70395132
0.84,2257.594932,35.16949605
0.84,2290.847255,35.16986303
0.84,2324.10018,35.39858818
0.84,2357.354008,35.96985058
0.84,2390.606531,36.04633695
0.84,2423.859958,36.46536057
0.84,2457.113284,36.8463245
0.84,2490.365707,36.88475118
0.84,2523.619234,37.3418345
0.84,2556.87246,37.68473873
0.84,2590.124782,37.68510571
0.84,2623.377105,37.68547269
0.84,2657.538075,38.35570031
0.84,2689.883958,38.52351994
0.84,2723.136281,38.52388692
0.84,2756.388704,38.56231359
0.84,2789.642532,39.13357599
0.84,2822.895456,39.36230114
0.84,2856.147779,39.36266812
0.84,2889.400102,39.3630351
0.84,2922.654532,40.16265567
0.84,2955.906955,40.20108235
0.84,2998.22089,40.82916629
0.84,1398.981112,27.13991725
0.84,264.2380939,488.216648
0.88,251.909647,331.6031507
0.88,274.5351842,30.54238763
0.88,279.9137925,350.7101057
0.88,292.0303837,360.1300136
0.88,307.7892129,31.18976942
0.88,304.1480789,369.9685782
0.88,316.2646701,379.3884861
0.88,326.870804,389.1921459
0.88,336.9767025,400.3564343
0.88,341.0434422,31.9132706
0.88,352.6301743,413.614067
0.88,363.2373201,423.8014954
0.88,374.2974709,32.56065239
0.88,372.3329967,433.9889072
0.88,381.4275694,443.7576623
0.88,390.5243499,454.3637306
0.88,399.6203945,464.6906946
0.88,408.7193828,476.1340763
0.88,417.8205789,488.4147712
0.88,426.9200987,500.0597283
0.88,434.5045105,510.3246524
0.88,440.5752249,519.7444936
0.88,450.3066076,34.01319671
0.88,448.1599843,530.141217
0.88,455.7462155,541.0961492
0.88,463.3324467,552.0510814
0.88,472.431435,563.4944631
0.88,486.151712,34.65517
0.88,481.5318951,575.4960536
0.88,489.1166545,585.892777
0.88,498.2136189,596.5686215
0.88,503.5350228,607.920961
0.88,519.4054396,35.18837271
0.88,517.9178116,616.7913036
0.88,552.6589665,35.64545602
0.88,585.9128948,36.25477812
0.88,619.166221,36.63574205
0.88,652.4202497,37.28312384
0.88,685.6735759,37.66408777
0.88,718.9275042,38.27340987
0.88,752.1804289,38.50213502
0.88,785.4338555,38.92115864
