Efficiency,Speed (RPM),Torque (Nm)
0.5,127.2350069,221.3141025
0.5,127.2357886,201.3587082
0.5,123.2093982,189.7012969
0.5,123.209909,176.6611382
0.5,123.2104198,163.6209796
0.5,123.2109306,150.5808209
0.5,123.2114414,137.5406622
0.5,123.2119522,124.5005036
0.5,123.2126952,105.5330001
0.5,131.2606427,252.2353845
0.5,129.2479738,232.9713639
0.5,128.5823277,92.69081917
0.5,133.2733348,270.9066706
0.5,134.2876333,77.23075262
0.5,146.790805,302.3226045
0.5,139.313141,282.7618099
0.5,147.364908,331.9593715
0.5,143.3387575,314.1770373
0.5,149.3890005,59.5980256
0.5,150.0486213,353.6931691
0.5,155.4169013,375.377772
0.5,161.4561537,401.3696287
0.5,171.5372481,44.569621
0.5,167.4957146,419.4879957
0.5,169.508666,431.5404134
0.5,175.5483561,446.3592251
0.5,196.6872047,499.9291776
0.5,184.9431174,477.3796958
0.5,207.7792865,33.98007616
0.5,199.7065361,520.4528339
0.5,207.759313,543.8664455
0.5,203.7330116,529.9368854
0.5,215.8121055,566.8849008
0.5,229.0417578,603.0483342
0.5,219.8383643,581.9011408
0.5,252.0749017,26.38559457
0.5,239.9708388,626.8516711
0.5,269.4982252,698.9797768
0.5,251.0437569,650.1173238
0.5,260.1034836,667.4554818
0.5,264.1298198,680.4959402
0.5,296.3703874,22.09605677
0.5,282.2491804,717.5431942
0.5,292.3156711,733.5477746
0.5,304.3955118,751.4294973
0.5,312.4486758,764.9642008
0.5,335.8580726,800.1594497
0.5,324.528501,783.2410799
0.5,340.6658105,19.40510592
0.5,384.9612506,16.28307544
0.5,429.2566047,15.35236639
0.5,466.3036491,14.04033086
0.5,517.8473349,12.93413711
0.5,562.1426335,13.4223985
0.5,606.4379848,12.56353605
0.5,650.7333277,11.92021342
0.5,695.0286896,10.79192621
0.5,739.3240326,10.14860358
0.5,783.6193628,9.828590663
0.5,827.9147205,8.808073359
0.5,872.2100507,8.488060446
0.5,916.5053704,8.437472299
0.5,960.8006817,8.602423964
0.5,1005.095989,8.875145536
0.5,1049.391302,8.986212248
0.5,1093.68662,8.989509054
0.5,1137.981937,8.992805859
0.5,1182.277255,8.996102665
0.5,1226.572572,8.999399471
0.5,1270.867896,8.841041418
0.5,1315.163248,7.982178973
0.5,1359.458572,7.823820919
0.5,1403.753855,8.689276976
0.5,1448.04916,9.0158835
0.5,1492.344478,9.019180306
0.5,1536.639836,7.998663002
0.5,1580.935153,8.001959808
0.5,1625.230441,8.759645958
0.5,1669.525795,7.84689856
0.5,1713.821112,7.850195366
0.5,1758.116409,8.392341703
0.5,1802.411747,7.856788978
0.5,1846.707057,8.075625596
0.5,1891.002359,8.456117074
0.5,1935.297677,8.45941388
0.5,1979.593003,8.247170873
0.5,2023.888318,8.304352632
0.5,2068.183644,8.092109625
0.5,2112.47897,7.879866619
0.5,2156.774275,8.206473143
0.5,2201.069597,8.102000043
0.5,2245.364911,8.213066755
0.5,2289.660241,7.893053842
0.5,2333.955558,7.896350648
0.5,2378.25087,8.061302313
0.5,2422.546189,8.010714166
0.5,2466.841511,7.906241065
0.5,2511.136829,7.909537871
0.5,2555.432142,8.020604583
0.5,2599.727464,7.916131483
0.5,2644.022775,8.081083148
0.5,2688.318076,8.515459579
0.5,2732.613396,8.464871432
0.5,2776.908711,8.522053191
0.5,2821.203993,9.441394201
0.5,2853.418782,9.120482159
0.5,2962.143699,7.943105349
0.5,3006.43901,8.108057014
0.5,3050.734311,8.542433445
0.5,3095.029628,8.545730251
0.5,3139.324946,8.549027057
0.5,3183.620263,8.552323863
0.5,3227.915581,8.555620669
0.5,3258.287889,8.089096937
0.55,154.7528631,194.0503642
0.55,149.3846006,171.9212105
