Altitude (m),Mach Number,Thrust (N)
0,0.00265161,19931.47164
0,0.058296156,18831.57739
0,0.101145488,18012.69686
0,0.143992018,17276.9888
0,0.186839856,16502.44943
0,0.229685971,15779.07294
0,0.272532749,15036.01842
0,0.315377803,14344.12678
0,0.358223001,13647.96658
0,0.40016824,12999.35035
0,0.443910845,12331.42156
0,0.486754441,11682.82158
0,0.529597242,11057.83525
0,0.574061978,10435.82998
0,0.598730034,10046.6512
6096,0.099274665,11708.99645
6096,0.155873891,11243.9159
6096,0.199818623,10925.36475
6096,0.241536957,10662.99628
6096,0.284367959,10388.2789
6096,0.327197769,10148.98197
6096,0.368081255,9906.107763
6096,0.424537497,9627.307817
6096,0.467364656,9466.723011
6096,0.510193997,9241.33189
6096,0.553020695,9094.390519
6096,0.595845732,8996.775412
6096,0.638670902,8895.224698
6096,0.681494216,8848.772472
6096,0.724319651,8739.350546
6096,0.767144555,8645.671045
6096,0.823739965,8512.322466
12192,0.404646165,4756.019212
12192,0.455847732,4665.072096
12192,0.498670036,4648.603612
12192,0.541492637,4623.330522
12192,0.576528175,4636.3337
12192,0.627136083,4624.880617
12192,0.669957673,4629.591271
12192,0.712778468,4657.915561
12192,0.755599793,4670.497427
12192,0.804907712,4729.11213
12192,0.84123913,4794.051313
12192,0.884056744,4916.830152
12192,0.926876558,4974.277928
12192,0.96340153,5068.533357
