Altitude (m),Mach Number,Thrust (N)
0,-0.000779147,147005.2033
0,0.047691493,138358.064
0,0.096158686,130556.251
0,0.14788825,123474.0746
0,0.195804327,117363.7362
0,0.250251548,111122.7787
0,0.3046968,105364.865
0,0.360229016,99967.59102
0,0.423926025,94195.71174
0,0.476732211,90010.15452
0,0.532259502,85820.4898
0,0.797362129,68996.93217
0,0.743471933,72097.28407
0,0.695024933,74947.89909
0,0.590507899,81626.71756
0,0.636778507,78658.62763
4572,0.395695482,77331.90046
4572,0.447408301,74355.5955
4572,0.499662878,71982.27366
4572,0.549739094,69974.52061
4572,0.601446988,68205.82489
4572,0.653699595,66315.54675
4572,0.703774333,64670.07646
4572,0.753848086,63266.12803
4572,0.80990827,61853.14306
4572,0.860526737,60327.6122
4572,0.905157295,59173.40064
4572,0.948698918,58141.59302
4572,0.993874189,56865.79903
7620,0.605296921,58297.67856
7620,0.651560634,57020.24158
7620,0.701089181,55858.63649
7620,0.748439859,54941.83927
7620,0.801232747,54016.82702
7620,0.85130453,53095.92228
7620,0.901919549,52415.71789
7620,0.946548629,51623.78911
7620,0.992809387,51070.91767
10668,0.602641811,42119.8222
10668,0.660329734,41911.98197
10668,0.719106098,41702.49874
10668,0.999921199,42003.16879
10668,0.947675979,42082.03307
10668,0.883459374,41816.68764
10668,0.826316658,41782.18452
10668,0.771895539,41622.81296
13716,0.605970671,26536.73394
13716,0.999443466,25701.2655
13716,0.942299765,25908.28423
13716,0.883523893,25997.00654
13716,0.826380684,26083.26434
13716,0.76651637,26173.62966
13716,0.71427115,26252.49394
13716,0.657672162,26337.93024
