Altitude (m),Mach Number,Thrust (N)
0,0.010080432,52688.79076
0,0.03719585,51601.38928
0,0.062564758,50718.82879
0,0.083324962,50073.43593
0,0.117925829,49008.34421
0,0.14330165,48264.42365
0,0.168680468,47580.58039
0,0.191754214,47000.87012
0,0.228670788,46044.88682
0,0.254054446,45458.09151
0,0.279439948,44908.26684
0,0.303673784,44427.96703
0,0.346373449,43620.89579
0,0.371762639,43145.01242
0,0.397154594,42724.58503
0,0.42254701,42313.40029
0,0.44793862,41886.04089
0,0.473331381,41481.78815
0,0.498723797,41070.60341
0,0.524114831,40631.69069
0,0.549509091,40257.4766
0,0.574904733,39910.9905
0,0.600300146,39559.88306
0,0.625695789,39213.39696
0,0.651092353,38885.39617
0,0.676488457,38548.15273
0,0.706043279,38215.71728
0,0.727281126,37882.90851
0,0.752679534,37591.87837
0,0.774613958,37329.1909
0,0.805776225,36801.44843
0,0.832973514,36550.66459
0,0.856580417,36367.27075
0,0.881978134,36062.37663
0,0.904200734,35787.50694
0,0.9535531,35194.72712
0,0.978950126,34875.969
0,1.004347151,34557.21088
0,1.027768445,34328.58986
0,1.055143968,33975.15062
0,1.080539381,33624.04318
0,1.105935254,33282.17841
0,1.131328822,32894.10032
0,1.156724696,32552.23555
0,1.188096176,32092.85259
3048,0.016822578,42149.12071
3048,0.050521922,40863.57889
3048,0.08742961,39729.41761
3048,0.11280958,39068.68101
3048,0.138193008,38477.26436
3048,0.163581967,37996.75966
3048,0.18204821,37678.30663
3048,0.214367721,37192.87551
3048,0.239768204,36943.43736
3048,0.265165921,36638.54323
3048,0.290566634,36393.7264
3048,0.309037672,36171.39705
3048,0.341364604,35834.77279
3048,0.366764395,35571.47064
3048,0.392167413,35372.86713
3048,0.417569279,35151.15696
3048,0.442973219,34971.03876
3048,0.484542192,34654.03349
3048,0.509947745,34506.26462
3048,0.535354451,34381.60239
3048,0.560762079,34275.4255
3048,0.586168784,34150.76327
3048,0.615428549,34078.56339
3048,0.636985423,33966.13746
3048,0.662392359,33846.09657
3048,0.687799986,33739.91968
3048,0.713206923,33619.87879
3048,0.731683768,33514.00697
3048,0.764020565,33375.17567
3048,0.789427962,33264.37744
3048,0.814834207,33130.47256
3048,0.84023999,32987.32502
3048,0.865644391,32816.44949
3048,0.8852746,32675.09662
3048,0.92337932,32381.04246
3048,0.948779572,32126.98297
3048,0.974179363,31863.68082
3048,0.998424309,31606.12916
3048,1.052684143,30976.31664
3048,1.078079555,30625.20921
3048,1.103473815,30250.99512
3048,1.128864848,29812.08239
3048,1.154254729,29350.06302
3048,1.179642305,28841.83033
3048,1.203398977,28311.39657
6096,0.012567068,30450.23523
6096,0.036507172,30072.08075
6096,0.063824485,29654.39275
6096,0.089220358,29312.52797
6096,0.114616692,28979.90586
6096,0.140014179,28670.3904
6096,0.164258433,28398.97475
6096,0.197739197,28036.26615
6096,0.223141062,27814.55598
6096,0.248542928,27592.84581
6096,0.273947559,27426.59161
6096,0.298198405,27287.34602
6096,0.340925774,27035.75875
6096,0.366333632,26934.20319
6096,0.391742642,26855.75427
6096,0.417151653,26777.30536
6096,0.441408007,26748.50958
6096,0.474902945,26670.01283
6096,0.500314952,26651.64121
6096,0.52572765,26647.1336
6096,0.551139657,26628.76199
6096,0.576553046,26638.11836
6096,0.601965744,26633.61074
6096,0.623220001,26629.84073
6096,0.652791371,26629.21684
6096,0.678207066,26684.78652
6096,0.703621147,26708.00689
6096,0.729035689,26740.46992
6096,0.754450461,26777.55428
6096,0.779866386,26837.74529
6096,0.816835842,26942.1007
6096,0.842251306,26993.04905
6096,0.867666078,27030.13341
6096,0.893082003,27090.32443
6096,0.91849885,27169.00076
6096,0.94391247,27182.97847
6096,0.969325168,27178.47085
6096,0.994738527,27187.21105
6096,1.020150795,27174.07695
6096,1.045562571,27151.08401
6096,1.070969508,27031.04312
6096,1.096378749,26957.21553
6096,1.125945601,26866.01355
6096,1.147194926,26763.34706
6096,1.172604397,26694.14081
6096,1.186462873,26631.60481
9144,0.407222073,17687.90438
9144,0.442128978,18043.10367
9144,0.467553661,18278.90526
9144,0.489510672,18469.10821
9144,0.523023518,18749.68887
9144,0.548446818,18957.76247
9144,0.573870349,19170.45741
9144,0.599292957,19364.66702
9144,0.624716949,19586.60461
9144,0.648213009,19754.19795
9144,0.675561014,19951.91718
9144,0.700983623,20146.12679
9144,0.726403696,20289.50176
9144,0.751824692,20451.36206
9144,0.777246609,20631.70767
9144,0.80266576,20756.59732
9144,0.819998074,20863.28055
9144,0.855817766,21075.2868
9144,0.881237839,21218.66177
9144,0.906657682,21357.41541
9144,0.932075912,21463.81973
9144,0.957495525,21597.95204
9144,0.982914676,21722.84169
9144,1.00024601,21809.88426
10668,0.411136374,14223.76895
10668,0.444255302,14354.87182
10668,0.469675837,14507.48946
10668,0.495094988,14632.3791
10668,0.520515984,14794.2394
10668,0.541316982,14966.82211
10668,0.580606331,15264.20344
10668,0.606030322,15486.14104
10668,0.631454314,15708.07863
10668,0.656878305,15930.01623
10668,0.676526031,16139.88451
10668,0.712351389,16465.49847
10668,0.737776072,16701.30006
10668,0.763201446,16950.96565
10668,0.788625899,17182.1459
10668,0.814051273,17431.81148
10668,0.834853589,17630.8018
10668,0.874146921,18008.06614
10668,0.899568378,18179.1691
10668,0.924990065,18354.89338
10668,0.950409447,18484.40436
10668,0.975828598,18609.29401
10668,1.010161358,18738.33303
10999.9272,0.406409309,13266.6896
10999.9272,0.441902879,13509.57805
10999.9272,0.467323644,13666.81702
10999.9272,0.492745562,13847.16263
10999.9272,0.518168631,14050.61491
10999.9272,0.54359147,14249.44585
10999.9272,0.569011032,14382.55119
10999.9272,0.594438993,14684.07838
10999.9272,0.619862523,14896.77331
10999.9272,0.645286976,15127.95357
10999.9272,0.670710737,15345.26984
10999.9272,0.700295613,15615.45593
10999.9272,0.721559181,15798.38769
10999.9272,0.746984095,16038.81061
10999.9272,0.77241016,16302.34018
10999.9272,0.797835996,16561.24843
10999.9272,0.823260448,16792.42869
10999.9272,0.844833263,16999.64482
10999.9272,0.874109584,17259.41053
10999.9272,0.899534728,17504.45478
10999.9272,0.924955493,17661.69375
10999.9272,0.950374414,17781.96206
10999.9272,0.975794026,17916.09437
10999.9272,1.010686513,17982.18345
12192,0.611954237,11888.73907
12192,0.647454786,12271.56129
12192,0.672880391,12525.8482
12192,0.702351287,12826.78664
12192,0.72373137,13029.8007
12192,0.749155362,13251.73829
12192,0.774579584,13478.29722
12192,0.800003114,13690.99215
12192,0.825427797,13926.79374
12192,0.852776302,14134.52586
12192,0.876273015,14315.21297
12192,0.901696546,14527.9079
12192,0.927118463,14708.25352
12192,0.952539689,14874.73514
12192,0.977961375,15050.45943
