Altitude (m),Mach Number,Thrust (N)
0,-0.001442636,19286.02739
0,0.037971976,18522.68639
0,0.062246223,18039.82057
0,0.088819773,17546.39517
0,0.122723694,16939.67674
0,0.151862951,16443.47767
0,0.178356072,16016.03532
0,0.228695312,15222.813
0,0.257843519,14799.92182
0,0.279043212,14500.5338
0,0.318800214,14001.25649
0,0.347961411,13684.77998
0,0.381499824,13330.1001
0,0.422193246,12906.50574
0,0.45135935,12630.23033
0,0.47654925,12399.74429
0,0.518795617,12020.15884
0,0.548718894,11773.79395
0,0.599376265,11351.62316
