Speed (RPM),Power (W),BSFC (g/(kWh))
2700,97579.37143,462.5324743
2700,103400.7503,448.0981233
2700,107572.9254,439.191526
2700,111546.4967,431.4841042
2700,115520.1544,424.4892242
2700,119493.812,417.9595608
2700,123268.886,412.3424218
2700,127043.9119,406.9670015
2700,131017.6905,401.768164
2700,134792.8508,397.240981
2700,138568.0322,392.9976339
2700,142343.3365,389.1898285
2700,145919.9399,385.7631729
2700,149297.9375,382.8317922
2700,152676.0023,380.1374367
2700,156252.8361,377.5040895
2700,159829.6507,374.9593174
2700,163207.6915,372.5659184
2700,166586.0394,370.719203
2700,169964.2458,368.7427741
2700,173143.8655,367.138143
2700,176323.5716,365.7108575
2700,179503.2562,364.3047982
2700,182881.3809,362.4776641
2700,186259.832,361.1440812
2700,189439.4734,359.8328208
2700,192619.0715,358.5101667
2700,195798.6697,357.2304701
2700,198779.7508,356.3229514
2700,201760.8103,355.4161467
2700,204940.5596,354.4214283
2700,208120.3089,353.4571053
2700,211300.0582,352.5218056
2700,214479.6564,351.4423451
2700,217348.0215,350.4256005
2600,98443.83427,447.5431414
2600,104587.4669,433.0481976
2600,108759.441,424.3654524
2600,112733.116,417.4859268
2600,116706.7391,410.9665924
2600,120680.5004,405.155831
2600,124654.2444,399.6817493
2600,128429.3644,394.9150454
2600,132204.5343,390.5126253
2600,135979.7541,386.4441535
2600,139556.2616,382.7639043
2600,143132.7882,379.3002786
2600,146709.4109,376.1650652
2600,150286.0527,373.2102286
2600,153664.1031,370.7218658
2600,157042.3071,368.5790268
2600,160619.1216,366.2455142
2600,163997.1816,364.0716707
2600,167375.376,362.1813607
2600,170952.4401,360.4787505
2600,173535.7601,359.1308794
2600,185062.0787,354.5470378
2600,188241.7417,353.3668451
2600,191421.4478,352.2808884
2600,194601.2403,351.3386784
2600,197780.9464,350.3202465
2600,200960.8037,349.5175012
2600,203941.9157,348.7825894
2600,206923.1387,348.1997558
2600,210102.8664,347.3136247
2600,213530.0884,346.3447887
2400,98358.48175,421.9206712
2400,103981.5399,411.060098
2400,108153.7103,403.6194985
2400,112326.0016,396.9941651
2400,116299.7457,391.4057165
2400,120273.4206,386.0464353
2400,124048.6635,381.7678578
2400,127625.1709,377.8746052
2400,131201.7935,374.4076844
2400,134778.2818,370.8816381
2400,138355.154,368.2145956
2400,141931.7958,365.2861838
2400,145707.1999,362.4513642
2400,149482.435,359.4841443
2400,152065.6015,357.7165781
2400,164783.5838,351.088339
2400,167963.1603,349.7057068
2400,171142.7585,348.4052239
2400,174521.0968,347.0967597
2400,177899.5503,345.9958908
2400,181079.278,345.0064291
2400,184259.0273,344.0797019
2400,187438.7766,343.184417
2400,190618.5044,342.29137
2400,193798.2537,341.4548059
2400,196977.895,340.5115546
2400,199958.8774,339.7382267
2400,203026.2,339.0357815
2200,97629.81527,401.164602
2200,103575.203,390.6419361
2200,107548.8434,384.5984532
2200,111522.4838,378.9856391
2200,115297.6652,374.4835963
2200,119072.9292,370.4360766
2200,122848.2085,366.6678117
2200,137552.9375,355.7532855
2200,139738.9308,354.5976959
2200,151860.9828,348.3532045
2200,155239.2828,346.8230365
2200,158418.8161,345.3762184
2200,161598.5223,344.2470772
2200,164778.3148,343.2893699
2200,167958.172,342.4620022
2200,171138.0293,341.6653806
2200,173845.5536,341.1771532
2000,141520.447,341.5743367
2000,145468.8402,339.9992003
2000,126974.0145,348.8302578
2000,118106.499,355.7709452
2000,113592.0025,359.4525239
2000,108594.1955,364.7513168
2000,102951.1801,370.5702282
2000,97953.6534,377.7098457
2000,123265.7833,351.616287
