Speed (RPM),Power (W),BSFC (g/(kWh))
2000,97760.07222,323.6745298
2000,102749.3307,317.99159
2000,121226.9416,304.5020268
2000,125200.6319,302.1417666
2000,127783.4672,300.5653887
2000,138711.9889,296.553001
2000,142487.2375,295.2091082
2000,144350.4396,294.5260487
2200,97605.40735,340.1864215
2200,103748.9929,331.8208373
2200,107126.3078,327.8819224
2200,113484.0645,322.0880812
2200,117656.3793,318.7029855
2200,126994.6595,312.397812
2200,130968.2826,309.776798
2200,134942.0266,307.5287537
2200,137326.0623,305.8679858
2200,142492.2129,303.7271205
2200,151256.9163,300.2836354
2200,159381.5435,297.6848041
2200,162759.6947,297.0540611
2200,166224.2535,296.628931
2400,97774.89657,360.6576707
2400,103757.1909,351.0930393
2400,107134.4561,346.433667
2400,114882.3274,336.8384894
2400,119252.9964,332.129059
2400,123425.162,328.2679022
2400,132762.8893,320.548229
2400,136935.2906,317.8405013
2400,140909.0001,315.4004386
2400,143293.1048,313.7954985
2400,161375.1933,307.1396937
2400,166042.7653,305.347724
2600,116876.1866,349.6623246
2600,121048.1748,344.7634534
2600,125220.2195,340.3011423
2600,127802.9454,337.7448472
2600,135353.0452,331.9015458
2600,139326.7029,328.9420081
2600,143300.4124,326.2348216
2600,146280.7636,324.4161816
2600,154825.0509,320.5579355
2600,158600.2496,318.7024159
2600,166945.6193,315.1813564
2600,98599.28232,378.6938967
2600,103757.0248,368.9941974
2600,109559.5551,359.3296924
2700,98420.49665,389.7327106
2700,103769.0908,379.0623774
2700,135357.0531,339.1238983
2700,138337.1798,336.5271741
2700,146086.2415,331.4945302
2700,149464.0599,329.5004762
2700,157014.5703,325.4974435
2700,159597.6312,324.2020342
2700,163174.3498,322.734346
2700,111175.8701,366.6983188
2700,122298.1809,351.896861
