BSFC (g/(kWh)),Power (W),Speed (RPM)
273.72465,598641.6544,1238.962363
273.72465,624135.7635,1266.479976
273.72465,647984.4282,1293.666984
273.72465,667641.0442,1314.70655
273.72465,687295.599,1336.142774
273.72465,705312.2742,1355.792646
273.72465,723332.8142,1374.698785
273.72465,742987.8327,1396.045761
273.72465,762645.0156,1416.976247
273.72465,782299.5703,1438.412471
273.72465,801955.671,1459.551201
273.72465,821614.0906,1480.243692
273.72465,841270.9642,1501.233677
273.72465,860931.7027,1521.479928
273.72465,880591.6682,1541.874926
273.72465,900253.9526,1561.823684
273.72465,919916.237,1581.772442
273.72465,941219.9345,1602.827568
273.72465,962525.0675,1623.60645
273.72465,982194.3086,1642.216489
273.72465,1001862.004,1661.124022
273.72465,1021531.245,1679.734061
273.72465,1042845.322,1698.791733
273.72465,1065799.487,1719.210766
273.72465,1088755.64,1739.247309
273.72465,1111713.118,1759.028857
273.72465,1134676.559,1777.662932
273.72465,1160924.049,1798.274581
273.72465,1188825.303,1817.615486
273.72465,1218375.311,1836.650374
273.72465,1252865.772,1855.884165
273.72465,1289015.91,1872.709654
273.72465,1325177.432,1887.344512
273.72465,1361363.408,1897.273569
273.72465,1397593.653,1898.683504
273.72465,1430945.753,1892.226223
279.80742,598993.1406,1415.603555
279.80742,624151.8078,1442.294887
279.80742,642168.483,1461.944759
279.80742,660183.6123,1481.892124
279.80742,678198.1232,1501.958486
279.80742,694572.281,1520.714485
279.80742,712588.0287,1540.542853
279.80742,732242.5834,1561.979077
279.80742,750259.2586,1581.628949
279.80742,768275.1609,1601.427567
279.80742,787930.4886,1622.715045
279.80742,807585.8163,1644.002522
279.80742,827247.3277,1664.100027
279.80742,846904.2014,1685.090011
279.80742,866564.1669,1705.485009
279.80742,886223.3594,1726.028754
279.80742,905884.8709,1746.126258
279.80742,925546.3823,1766.223763
279.80742,945209.4397,1786.023775
279.80742,964873.27,1805.67504
279.80742,984536.3273,1825.475051
279.80742,1004714.756,1844.721568
279.80742,1023864.761,1864.628835
279.80742,1043529.364,1884.131353
279.80742,1063193.195,1903.782618
279.80742,1082860.89,1922.690151
279.80742,1102527.039,1941.895176
279.80742,1122196.28,1960.505215
279.80742,1140226.714,1977.507398
279.80742,1161198.715,1998.998285
279.80742,1187764.797,2021.695781
279.80742,1209079.537,2040.625956
279.80742,1235332.356,2060.211962
279.80742,1268172.397,2080.072701
279.80742,1304321.27,2097.141594
279.80742,1340496.705,2109.099013
279.80742,1376710.929,2113.59206
279.80742,1412970.266,2109.403715
279.80742,1447635.318,2095.039712
279.80742,1478209.024,2075.564809
279.80742,1497247.542,2057.061882
279.80742,1513818.806,2037.887506
279.80742,1528754.045,2016.569786
279.80742,1536604.643,2000.774357
285.89019,598184.8229,1579.943405
285.89019,628212.0944,1611.870157
285.89019,646227.2237,1631.817522
285.89019,665881.7784,1653.253746
285.89019,685532.4684,1675.433703
285.89019,705190.115,1696.274941
285.89019,724846.2157,1717.413671
285.89019,744500.7704,1738.849895
285.89019,764156.0981,1760.137373
285.89019,782172.4641,1779.846743
285.89019,800195.7353,1798.227311
285.89019,819853.2788,1819.088382
285.89019,839510.9255,1839.929619
285.89019,859170.118,1860.473364
285.89019,878831.6294,1880.570868
285.89019,898490.049,1901.263359
285.89019,918154.6523,1920.765878
285.89019,937821.5745,1939.822157
285.89019,959128.6951,1960.218548
285.89019,980438.1346,1980.168699
285.89019,1001746.426,2000.339845
285.89019,1024698.868,2021.090371
285.89019,1047652.371,2041.636902
285.89019,1070606.537,2062.055936
285.89019,1093565.34,2081.58249
285.89019,1116523.48,2101.236542
285.89019,1139483.609,2120.508102
285.89019,1164087.414,2140.450415
285.89019,1190339.864,2160.107252
285.89019,1219885.466,2179.989996
285.89019,1254369.476,2200.465144
285.89019,1290512.025,2218.751054
285.89019,1326675.655,2232.98024
285.89019,1362862.474,2242.747028
285.89019,1399093.563,2243.994694
285.89019,1433732.264,2234.701597
285.89019,1459961.297,2213.582854
285.89019,1478307.817,2194.042086
285.89019,1493419.762,2177.173978
291.97296,598377.5876,1699.650159
291.97296,624279.6251,1734.67254
291.97296,640639.8696,1756.105978
291.97296,657004.7519,1776.646936
291.97296,673372.4169,1796.652407
291.97296,689738.2267,1817.014869
291.97296,706106.8192,1836.841844
291.97296,722478.1944,1856.133331
291.97296,740488.3767,1877.032674
291.97296,758501.3417,1897.396529
291.97296,774874.572,1916.331024
291.97296,792888.1553,1936.575883
291.97296,812542.7101,1958.012106
291.97296,830562.4771,1977.066992
291.97296,850224.3198,1997.100748
291.97296,871527.2443,2018.304621
291.97296,892830.8314,2039.380996
291.97296,914141.4856,2059.097403
291.97296,933812.2726,2077.409949
291.97296,955123.4789,2097.020108
291.97296,978076.3192,2117.694136
291.97296,1001032.472,2137.730678
291.97296,1023989.95,2157.512227
291.97296,1046949.416,2176.911284
291.97296,1069910.207,2196.055347
291.97296,1092873.647,2214.689422
291.97296,1115837.751,2233.196
291.97296,1140443.461,2252.771758
291.97296,1168341.328,2272.764669
291.97296,1199083.068,2292.993248
291.97296,1232368.895,2313.516063
291.97296,1266863.698,2331.914169
291.97296,1303019.318,2347.684909
291.97296,1339207.823,2357.12716
291.97296,1375451.982,2355.859657
291.97296,1408466.291,2342.184805
291.97296,1434925.38,2322.076726
291.97296,1456438.882,2302.757783
291.97296,1474653.746,2284.269034
291.97296,1491776.844,2264.559634
291.97296,1506155.379,2244.714041
291.97296,1519436.97,2224.644399
291.97296,1531069.474,2204.94523
291.97296,1542708.741,2183.944529
291.97296,1554350.713,2162.423215
291.97296,1564334.129,2143.094519
291.97296,1574320.637,2123.170837
291.97296,1584314.875,2101.75969
291.97296,1598564.365,2073.059235
298.05573,599017.8319,1824.510913
298.05573,630207.8253,1861.767183
298.05573,644933.6686,1880.744909
298.05573,659657.8113,1900.049878
298.05573,676026.713,1919.817354
298.05573,692393.4504,1940.00132
298.05573,708758.3327,1960.542278
298.05573,725128.7803,1980.012261
298.05573,741498.3004,1999.66074
298.05573,757871.5307,2018.595235
298.05573,775884.8048,2038.899592
298.05573,793899.3157,2058.965954
298.05573,811917.3823,2078.348083
298.05573,831570.3911,2100.0818
298.05573,851234.2214,2119.733065
298.05573,870898.8247,2139.235583
298.05573,892200.3137,2160.715699
298.05573,913513.8389,2179.879619
298.05573,936472.7525,2199.384923
298.05573,962720.5655,2219.934241
298.05573,988969.5381,2240.260438
298.05573,1015219.67,2260.363515
298.05573,1041472.121,2280.020353
298.05573,1067723.992,2299.78875
298.05573,1093979.921,2318.776228
298.05573,1120237.589,2337.429026
298.05573,1148135.907,2357.335168
298.05573,1172754.859,2374.362757
298.05573,1205579.605,2397.166694
298.05573,1236769.491,2417.603177
298.05573,1269612.015,2436.986124
298.05573,1305779.018,2450.566233
298.05573,1341994.928,2454.734741
298.05573,1378261.854,2449.085976
298.05573,1412934.032,2433.3508
298.05573,1457245.783,2401.974866
298.05573,1436062.379,2420.250856
298.05573,1474735.582,2383.368403
298.05573,1493413.323,2363.084079
298.05573,615583.4548,1843.360352
304.1385,599225.3004,1939.823994
304.1385,629629.9575,1972.97012
304.1385,645991.1296,1994.225061
304.1385,662356.9394,2014.587524
304.1385,678719.039,2035.66397
304.1385,695085.7764,2055.847936
304.1385,711452.5138,2076.031903
304.1385,727824.8165,2095.144894
304.1385,744197.1193,2114.257885
304.1385,760573.1322,2132.656892
304.1385,776946.3625,2151.591388
304.1385,793321.4479,2170.168891
304.1385,811336.8864,2190.056758
304.1385,830997.6249,2210.303009
304.1385,850663.0011,2229.656781
304.1385,871972.6615,2249.564433
304.1385,894929.477,2269.473479
304.1385,917887.6176,2289.12753
304.1385,940849.7334,2308.016599
304.1385,963812.5118,2326.778171
304.1385,986775.2901,2345.539743
304.1385,1011380.42,2365.227061
304.1385,1035982.436,2385.513616
304.1385,1065532.47,2404.543482
304.1385,1091770.886,2426.901197
304.1385,1119667.142,2447.203996
304.1385,1147567.521,2466.71348
304.1385,1178761.592,2486.344748
304.1385,1213252.475,2505.497404
304.1385,1249408.937,2521.105876
304.1385,1285588.167,2532.333085
304.1385,1321793.115,2538.61109
304.1385,1358038.96,2537.019049
304.1385,1394340.037,2524.79839
304.1385,1424095.017,2504.389164
304.1385,1445611.39,2484.517734
304.1385,1463830.272,2465.255503
304.1385,1482602.69,2445.131006
304.1385,1496979.293,2425.657279
304.1385,1508629.064,2402.635112
304.1385,1531840.861,2373.476488
304.1385,1545137.525,2350.506288
304.1385,1556774.666,2329.91464
304.1385,1566762.72,2309.693465
304.1385,1576752.32,2289.174797
304.1385,1586746.557,2267.76365
304.1385,1596753.162,2243.972557
304.1385,1606755.129,2221.073944
304.1385,1615102.985,2199.512657
304.1385,1623453.546,2177.430757
304.1385,1630147.676,2157.132422
304.1385,1640368.897,2121.804174
304.1385,1637048.235,2138.47991
316.30404,598639.6428,2143.82399
316.30404,628565.1225,2177.883396
316.30404,646577.3145,2198.395998
316.30404,664591.0524,2218.611107
316.30404,682607.573,2238.290728
316.30404,702262.1278,2259.726952
316.30404,721924.4122,2279.67571
316.30404,741588.2425,2299.326976
316.30404,761251.2998,2319.126987
316.30404,780918.222,2338.183266
316.30404,802228.3241,2358.00592
316.30404,828874.4035,2392.478314
316.30404,820258.2501,2375.105851
316.30404,854687.5105,2406.116893
316.30404,877640.3507,2426.79092
316.30404,900599.8164,2446.189978
316.30404,925200.8056,2466.674153
316.30404,951447.4592,2487.44659
316.30404,977699.3303,2507.214987
316.30404,1005597.326,2527.183107
316.30404,1038158.591,2548.623769
316.30404,1487265.844,2546.164482
316.30404,1508025.89,2518.708011
316.30404,1521300.524,2499.977088
316.30404,1534584.434,2479.461206
316.30404,1547870.663,2458.499085
316.30404,1561162.689,2436.421364
316.30404,1579466.677,2400.781685
316.30404,1571122.143,2421.703813
316.30404,1596076.046,2374.274553
316.30404,1599242.044,2398.969271
316.30404,1606059.462,2354.945858
316.30404,1616039.786,2336.212149
316.30404,1626030.932,2315.395988
316.30404,1636017.44,2295.472306
316.30404,1646008.586,2274.656145
316.30404,1656009.007,2252.055025
316.30404,1666004.79,2230.346384
316.30404,1675993.231,2210.050836
316.30404,1689313.511,2182.535907
328.46958,595745.5421,2282.717232
328.46958,629485.0732,2317.825563
328.46958,649145.0387,2338.220561
328.46958,668806.5501,2358.318066
328.46958,688469.6075,2378.118078
328.46958,708133.4378,2397.769343
328.46958,727803.4518,2416.230635
328.46958,747468.0551,2435.733154
328.46958,767137.2962,2454.343193
328.46958,788447.5087,2474.144598
