Altitude (m),TAS (m/s),Power (W),Mach Number
0,0.959862567,3398351.374,0.0028206862324185733
0,11.81927591,3403924.58,0.03473254399397107
0,20.02656552,3410194.4960000003,0.05885077675384803
0,27.98514939,3420974.403,0.08223815399246634
0,36.44114475,3435549.764,0.10708724230298833
0,44.64843436,3450199.005,0.1312054750628653
0,52.85572398,3469284.358,0.15532370785212862
0,61.06301359,3488862.613,0.17944194061200558
0,69.2703032,3512876.982,0.20356017337188256
0,77.47759282,3538370.055,0.22767840616114587
0,85.68488243,3570270.847,0.25179663892102283
0,93.89217204,3600200.0330000003,0.27591487168089984
0,102.0994617,3634072.43,0.3000331045877086
0,107.32228229999998,3657658.9439999997,0.3153810707104588
3048,1.163872085,2751163.6610000003,0.0035442079723631364
3048,11.81927591,2742943.702,0.03599190361867092
3048,20.02656552,2740834.292,0.060984634041666784
3048,28.23385514,2743160.9960000003,0.08597736449511453
3048,36.44114475,2750416.7139999997,0.1109700949181104
3048,44.64843436,2759644.038,0.1359628253411063
3048,52.85572398,2774293.2789999996,0.16095555579455403
3048,61.06301359,2793378.6319999998,0.18594828621754989
3048,69.2703032,2810985.2810000004,0.21094101664054576
3048,77.47759282,2835985.453,0.2359337470939935
3048,85.68488243,2860492.723,0.2609264775169894
3048,93.89217204,2888943.204,0.28591920793998526
3048,102.0994617,2917886.587,0.3109119385152405
3048,110.3067513,2950773.182,0.3359046689077845
3048,118.5140409,2989081.693,0.3608973993003285
3048,126.7213305,3028868.909,0.38589012969287245
3048,134.9286201,3068656.124,0.41088286008541647
3048,143.13590969999998,3113865.256,0.43587559047796043
3048,151.3431993,3160060.191,0.4608683208705045
3048,159.550489,3208719.633,0.4858610515675672
3048,167.7577786,3258364.878,0.5108537819601112
3048,175.9650682,3309981.729,0.5358465123526551
3048,184.17235780000001,3365541.792,0.5608392427451993
3048,192.3796474,3418637.347,0.5858319731377433
3048,200.586937,3469761.297,0.6108247035302873
3048,208.79422659999997,3526800.064,0.6358174339228312
3048,218.4995037,3594613.1539999996,0.6653718161570381
6096,50.61737226,2137636.583,0.16016540492196463
6096,58.82466188,2149328.415,0.18613522134283658
6096,67.03195149,2163484.754,0.21210503773206615
6096,75.2392411,2182077.206,0.23807485412129575
6096,83.44653072,2200669.6580000003,0.2640446705421677
6096,91.65382033,2222712.421,0.2900144869313973
6096,99.86110994,2246726.789,0.3159843033206269
6096,108.0683996,2274684.369,0.3419541198680684
6096,116.2756892,2306092.26,0.36792393622565556
6096,124.4829788,2338485.953,0.3938937525832428
6096,132.6902684,2372851.252,0.41986356894083
6096,140.897558,2409681.059,0.4458333852984172
6096,149.1048476,2449961.176,0.47180320165600437
6096,157.3121372,2490241.293,0.4977730180135916
6096,165.5194269,2531507.213,0.5237428346876026
6096,173.7267165,2572280.232,0.5497126510451898
6096,181.9340061,2615517.7569999998,0.5756824674027771
6096,190.1412957,2659741.086,0.6016522837603642
6096,198.34858530000002,2702978.6119999997,0.6276221001179515
6096,206.55587490000002,2747694.8419999997,0.6535919164755387
6096,214.7631645,2795368.482,0.6795617328331258
6096,222.97045409999998,2841070.515,0.705531549190713
6096,231.1777438,2888251.253,0.731501365864724
6096,239.38503340000003,2935431.99,0.7574711822223114
6096,247.592323,2985570.137,0.7834409985798985
6096,255.79961260000002,3036694.086,0.8094108149374857
6096,264.0069022,3083874.8239999996,0.8353806312950729
6096,272.2141918,3131548.463,0.86135044765266
6096,280.4214814,3178729.2010000004,0.8873202640102473
6096,288.6287711,3228867.347,0.9132900806842582
6096,296.83606069999996,3277526.789,0.9392598970418453
6096,302.0588813,3308342.525,0.9557861436422607
6096,39.37383688,2122252.4069999997,0.12458818476043472
9144,60.64924157,1568049.761,0.2000479176663233
9144,71.50865492,1580038.2880000002,0.23586704699934277
9144,79.71594453,1590744.3159999999,0.2629383038471298
9144,87.92323414,1604407.754,0.2900095606949168
9144,96.13052376,1619056.994,0.3170808175756882
9144,104.3378134,1638635.249,0.3441520745224284
9144,112.545103,1661170.9130000002,0.371223331337231
9144,120.7523926,1685185.281,0.39829458815203356
9144,128.9596822,1710678.354,0.4253658449668362
9144,137.1669718,1740114.639,0.45243710178163876
9144,145.3742614,1769550.9230000002,0.47950835859644136
9144,153.58155109999998,1800958.814,0.506579615741088
9144,161.78884069999998,1834831.2119999998,0.5336508725558906
9144,169.9961303,1869689.4119999998,0.5607221293706932
9144,178.2034199,1904054.7119999998,0.5877933861854958
9144,186.4107095,1940884.519,0.6148646430002984
9144,194.6179991,1977714.325,0.641935899815101
9144,202.8252887,2012079.625,0.6690071566299035
9144,211.03257830000004,2051373.939,0.6960784134447063
9144,219.23986800000003,2090668.253,0.723149670589353
9144,227.4471576,2129469.665,0.7502209274041555
9144,235.6544472,2168271.078,0.7772921842189581
9144,243.86173680000002,2208058.294,0.8043634410337607
9144,252.06902639999998,2249324.213,0.8314346978485632
9144,260.276316,2292068.838,0.8585059546633659
9144,268.48360560000003,2332841.856,0.8855772114781685
9144,276.6908953,2374600.6780000003,0.9126484686228151
9144,284.8981849,2416359.499,0.9397197254376176
9144,293.1054745,2459597.025,0.9667909822524203
9144,301.31276410000004,2500370.044,0.993862239067223
9144,306.53558480000004,2525435.262,1.0110894026447537
12192,79.50618203,1060398.449,0.26944900702707075
12192,90.16158586,1065001.529,0.30556051317866284
12192,98.36887547,1074228.854,0.33337528153169044
12192,106.57616509999998,1084934.882,0.36119004995249854
12192,114.78345470000001,1098598.3190000001,0.3890048182716359
12192,122.9907443,1115219.166,0.4168195865907732
12192,131.1980339,1132825.815,0.44463435490991043
12192,139.4053235,1152404.07,0.4724491232290477
12192,147.6126132,1172475.227,0.5002638918870882
12192,155.81990280000002,1195503.7920000001,0.5280786602062255
12192,164.02719240000002,1218039.456,0.5558934285253627
12192,172.234482,1241068.021,0.5837081968445
12192,180.4417716,1266561.094,0.6115229651636372
12192,188.6490612,1290575.462,0.6393377334827745
12192,196.8563508,1315575.634,0.6671525018019118
12192,205.0636404,1341068.707,0.694967270121049
12192,213.2709301,1369519.188,0.7227820387790894
12192,221.47821969999998,1397969.67,0.7505968070982266
12192,229.68550930000004,1425434.3480000002,0.7784115754173642
12192,237.8927989,1454377.7319999998,0.8062263437365013
12192,246.10008849999997,1483321.115,0.8340411120556385
12192,254.3073781,1512264.4980000001,0.8618558803747758
12192,262.51466769999996,1543672.388,0.8896706486939129
12192,270.72195739999995,1572615.771,0.9174854173519533
12192,278.92924700000003,1601559.155,0.9453001856710909
12192,287.13653660000006,1630995.439,0.9731149539902283
12192,295.3438262,1659938.822,1.0009297223093654
12192,306.6112586,1704950.7969999998,1.039115412961434
15240,95.17464402,651557.2539,0.3225499284529527
15240,105.83004779999999,660604.049,0.35866143443509313
15240,114.0373375,668845.5701,0.3864762030931337
15240,122.24462709999999,678565.7957,0.4142909714122709
15240,130.45191670000003,689764.7257,0.44210573973140826
15240,138.65920630000002,700470.7543,0.4699205080505455
15240,146.8664959,712655.4872,0.4977352763696827
15240,155.07378549999999,727304.7275,0.5255500446888199
15240,163.28107509999998,739982.3620000001,0.5533648130079571
15240,171.4883648,752167.0949,0.5811795816659977
15240,179.6956544,769280.8426,0.608994349985135
15240,187.902944,785901.6889,0.6368091183042722
15240,196.1102336,802522.5351,0.6646238866234094
15240,204.31752319999998,819143.3814,0.6924386549425467
15240,212.5248128,836750.0305,0.7202534232616841
15240,220.73210240000003,852385.0738,0.7480681915808214
15240,228.939392,870977.526,0.7758829598999586
15240,237.1466817,890555.781,0.803697728557999
15240,245.3539713,909148.2332,0.8315124968771364
15240,253.5612609,924783.2765,0.8593272651962736
15240,261.7685505,944361.5315,0.8871420335154109
15240,269.9758401,966404.2940000001,0.9149568018345482
15240,278.1831297,984503.8447,0.9427715701536853
