Altitude (m),TAS (m/s),Thrust (N),Mach Number
0,0.0,4297.468247999999,0.0
1524,0.0,3885.5918799999995,0.0
3048,0.0,3471.6390539999998,0.0
4572,0.0,3067.721682,0.0
6096,0.0,2663.877298,0.0
7620,0.0,2265.896734,0.0
0,51.4444,3403.3474170000004,0.15117634107616373
1524,51.4444,3098.90695,0.15384388474110552
3048,51.4444,2789.0132,0.15665781056467057
4572,51.4444,2495.23461,0.1596320156891243
6096,51.4444,2180.132266,0.16278231739577698
7620,51.4444,1880.725614,0.16612680825092035
9144,51.4444,1597.608902,0.16968629498384347
10668,51.4444,1298.516851,0.17348484547455112
0,102.8888,2603.490428,0.30235268215232747
1524,102.8888,2423.154195,0.30768776948221105
3048,102.8888,2223.521716,0.31331562112934114
4572,102.8888,2011.1788780000002,0.3192640313782486
6096,102.8888,1811.2527710000002,0.32556463479155395
7620,102.8888,1586.031787,0.3322536165018407
9144,102.8888,1367.103062,0.33937258996768693
10668,102.8888,1103.037906,0.34696969094910224
0,154.3332,1835.626021,0.45352902322849115
1524,154.3332,1769.808859,0.4615316542233166
3048,154.3332,1685.4085469999998,0.4699734316940117
4572,154.3332,1589.0109710000002,0.4788960470673729
6096,154.3332,1478.8963130000002,0.4883469521873309
7620,154.3332,1343.654565,0.49838042475276106
9144,154.3332,1194.989362,0.5090588849515304
10668,154.3332,1007.396093,0.5204545364236534
0,205.7776,918.3835567,0.6047053643046549
1524,205.7776,1116.924938,0.6153755389644221
3048,205.7776,1148.2601539999998,0.6266312422586823
4572,205.7776,1147.9662859999999,0.6385280627564972
6096,205.7776,1134.290911,0.6511292695831079
7620,205.7776,1082.861979,0.6645072330036814
9144,205.7776,1029.83907,0.6787451799353739
10668,205.7776,931.8475156,0.6939393818982045
