Time,Pitch angle,Roll angle,Pitch rate,Roll rate,Yaw rate,Long acc,Lat acc,Norm acc,True HDG,IRS GS,IRS Alt,IRS Vert acc,IRS Flight path angle,Press alt,IAS,TAS,Temp,GPS Track,GPS GS,GPS Alt,Fuel,Elevator,Aileron,Rudder,Tab Angle,True AoA
0.06,-2.087,-0.363,-0.465,0.223,11.047,-0.061,0.089,1.017,35.392,8.25,155.5,0.02,0,203,22,25,14,25,8,41,669.395,23.584,-1.092,-1.1,-7.594,2.457
0.08,-2.098,-0.368,-0.52,0.156,11.043,-0.063,0.089,1.012,35.739,8.25,155.5,0.015,0,203,22,25,14,25,8,41,669.395,23.507,-1.09,-1.096,-7.567,2.456
0.1,-2.109,-0.374,-0.598,0.074,11.039,-0.064,0.088,1.005,35.739,8.25,155.5,0.007,0,203,22,25,14,25,8,41,669.395,23.692,-1.088,-1.12,-7.632,2.455
0.12,-2.115,-0.379,-0.598,0.066,11.035,-0.064,0.088,0.988,36.085,8.125,155.5,-0.01,0,203,22,25,14,25,8,41,669.395,23.493,-1.082,-1.107,-7.562,2.456
0.141,-2.12,-0.379,-0.578,0.094,11.031,-0.065,0.09,0.981,36.425,8.125,155.5,-0.017,0,203,22,25,14,25,8,41,669.395,23.492,-1.081,-1.094,-7.562,2.456
0.161,-2.12,-0.374,-0.469,0.23,11.012,-0.067,0.092,0.973,36.425,8.125,155.5,-0.024,0,203,22,25,14,25,8,41,669.395,23.75,-1.079,-1.089,-7.653,2.456
0.181,-2.115,-0.368,-0.383,0.312,10.988,-0.067,0.092,0.967,36.771,8.125,156,-0.031,0,203,22,25,14,25,8,41,669.395,23.502,-1.087,-1.094,-7.566,2.457
0.201,-2.109,-0.363,-0.273,0.41,10.957,-0.071,0.095,0.957,36.771,8.125,156,-0.04,0,203,22,25,14,25,8,41,669.395,23.482,-1.087,-1.082,-7.558,2.456
0.221,-2.104,-0.352,-0.145,0.52,10.926,-0.073,0.097,0.954,37.117,8.125,156,-0.043,0,203,22,25,14,25,8,41,669.395,23.484,-1.091,-1.05,-7.559,2.456
0.241,-2.087,-0.335,0.137,0.738,10.863,-0.076,0.099,0.952,37.452,8,156,-0.045,0,203,22,25,14,25,8,41,669.395,23.527,-1.094,-1.034,-7.575,2.457
0.261,-2.071,-0.324,0.281,0.816,10.844,-0.079,0.099,0.95,37.452,8,156,-0.047,0,203,22,25,14,25,8,41,669.395,23.551,-1.094,-1.009,-7.583,2.455
